,Modeltype,Scoretype,Datatype,Mean absolute error (mae),Mean squared error (mse),Standard Diviation (SD),Pearson correlation coefficient (r),90% Confidence interval,Coefficient of determination (r²),Spearman correlation coefficient,add. information,System
31,Lasso,Affinity Data Value,ki,19117.980479546826,879487932.0123034,23658.837329159396,0.532405,[0.097 ~ 0.797],-796347246.839752,0.576458,X-GRADE,004-AR
32,Lasso,pKd pKi pIC50,ki,16.116228058675823,261.5182770901452,0.5193537546371779,-0.376828,[-0.713 ~ 0.099],-235.796154,-0.167217,X-GRADE,004-AR
33,ElasticNet,delta G,ki,12.502537160498674,165.70643346652187,3.2815189013682997,0.359536,[-0.119 ~ 0.703],-149.041697,0.253025,X-GRADE,004-AR
34,ElasticNet,Affinity Data Value,ki,21555.049968584146,602047545.2184583,11723.685359849402,0.707498,[0.368 ~ 0.881],-545134148.375333,0.587459,X-GRADE,004-AR
35,ElasticNet,pKd pKi pIC50,ki,16.08162222985612,260.47222093082223,0.559278160718264,-0.371292,[-0.709 ~ 0.106],-234.848985,-0.20022,X-GRADE,004-AR
36,SVR,delta G,ki,12.706749078354802,163.8073172407444,1.5581351192079003,0.362252,[-0.116 ~ 0.704],-147.322111,0.345435,X-GRADE,004-AR
37,SVR,Affinity Data Value,ki,142.74728263841544,20422.386244939837,7.110823634493227,0.40605,[-0.065 ~ 0.729],-18490.79561,0.349835,X-GRADE,004-AR
38,SVR,pKd pKi pIC50,ki,16.246144027520028,265.39879922796587,0.4614511696729251,-0.148743,[-0.569 ~ 0.333],-239.309839,-0.270627,X-GRADE,004-AR
39,DecisionTree,delta G,ki,18.321666291784258,337.1977431599189,0.3000126005659799,-0.507283,[-0.784 ~ -0.063],-304.321409,-0.378828,X-GRADE,004-AR
40,DecisionTree,Affinity Data Value,ki,2487.4307142857137,29798490.448121425,4859.7117620916815,0.550276,[0.122 ~ 0.806],-26981547.005833,0.514237,X-GRADE,004-AR
41,DecisionTree,pKd pKi pIC50,ki,15.525000000000002,242.5881642857143,1.0451960073964839,0.288737,[-0.196 ~ 0.66],-218.655563,0.278352,X-GRADE,004-AR
42,RandomForest,delta G,ki,13.51069230160547,184.83811321657072,1.8359815802373705,0.563874,[0.142 ~ 0.813],-166.364801,0.431243,X-GRADE,004-AR
43,RandomForest,Affinity Data Value,ki,14027.976167357145,276735873.3906814,8942.102796653287,0.502564,[0.057 ~ 0.781],-250575183.868047,0.29923,X-GRADE,004-AR
44,RandomForest,pKd pKi pIC50,ki,16.60219285714286,277.46258033928575,0.43925380842320044,-0.5767,[-0.819 ~ -0.16],-250.233194,-0.374038,X-GRADE,004-AR
45,XGBoost,delta G,ki,22.884914883204868,544.6950285944625,5.306033611297607,0.742691,[0.431 ~ 0.896],-492.203342,0.657866,X-GRADE,004-AR
46,XGBoost,Affinity Data Value,ki,12788.01904296875,283832634.35087526,12229.6865234375,-0.036218,[-0.487 ~ 0.43],-257001066.308862,-0.20022,X-GRADE,004-AR
47,XGBoost,pKd pKi pIC50,ki,15.986495384488787,257.69789838947446,0.9600424766540527,-0.051431,[-0.499 ~ 0.417],-232.336928,-0.10341,X-GRADE,004-AR
48,linearRegression,delta G,kd,1340873532258.9019,2.517118561285963e+25,4834588274444.033,-0.041661,[-0.491 ~ 0.425],-2.2791676449500064e+25,0.543455,X-GRADE,004-AR
49,linearRegression,Affinity Data Value,kd,502005646655187.2,3.5281353692489143e+30,1810007099426745.2,-0.041661,[-0.491 ~ 0.425],-3.1946099418089064e+30,0.488449,X-GRADE,004-AR
50,linearRegression,pKd pKi pIC50,kd,1037806875.905236,1.5078603149862924e+19,3741865849.794603,-0.041661,[-0.491 ~ 0.425],-1.3653176675417047e+19,-0.431243,X-GRADE,004-AR
51,Ridge,delta G,kd,2082.2175485294706,60199382.50197921,7474.2497061503,0.041834,[-0.425 ~ 0.491],-54508549.751135,0.453246,X-GRADE,004-AR
52,Ridge,Affinity Data Value,kd,16967594.034185477,4013676288866061.0,61058913.44161188,0.041811,[-0.425 ~ 0.491],-3634251193242572.5,0.39604,X-GRADE,004-AR
53,Ridge,pKd pKi pIC50,kd,288.74251132110135,1054950.1592975685,985.6420283056283,-0.041807,[-0.491 ~ 0.425],-955221.494119,-0.356436,X-GRADE,004-AR
54,Lasso,delta G,kd,10.038127354144413,101.89074041145419,1.482689362964732,0.698266,[0.352 ~ 0.876],-91.258697,0.547855,X-GRADE,004-AR
55,Lasso,Affinity Data Value,kd,8777393.390900547,1074623692429139.9,31593483.437245015,0.041921,[-0.425 ~ 0.491],-973036227991545.8,0.457646,X-GRADE,004-AR
56,Lasso,pKd pKi pIC50,kd,15.614663634228895,245.37370723132238,0.2955194667223067,-0.586439,[-0.824 ~ -0.174],-221.17778,-0.468647,X-GRADE,004-AR
57,ElasticNet,delta G,kd,10.059361532030621,102.64407542398035,1.731782015123336,0.728088,[0.404 ~ 0.89],-91.940817,0.629263,X-GRADE,004-AR
58,ElasticNet,Affinity Data Value,kd,5327481.457386285,391959453752040.9,19087820.584076215,0.042053,[-0.425 ~ 0.491],-354906327760552.9,0.415842,X-GRADE,004-AR
59,ElasticNet,pKd pKi pIC50,kd,87.74881401347868,75514.17672943369,260.36528844599434,-0.042275,[-0.492 ~ 0.425],-68374.590639,-0.332233,X-GRADE,004-AR
60,SVR,delta G,kd,9.73733078144817,95.66501434442507,1.3584023058967152,0.735614,[0.418 ~ 0.893],-85.621508,0.620462,X-GRADE,004-AR
61,SVR,Affinity Data Value,kd,761.8396473000017,580608.6252901636,15.080259502209946,0.616533,[0.22 ~ 0.838],-525720.91612,0.424643,X-GRADE,004-AR
62,SVR,pKd pKi pIC50,kd,15.675546315579137,247.15665299389437,0.24855453987203416,-0.512464,[-0.786 ~ -0.07],-222.792179,-0.358636,X-GRADE,004-AR
63,DecisionTree,delta G,kd,19.62224532484251,402.7565962536195,4.4310115349153465,0.323648,[-0.159 ~ 0.681],-363.682783,0.250213,X-GRADE,004-AR
64,DecisionTree,Affinity Data Value,kd,18418.830714285716,3460418642.578979,55867.39237402681,0.001823,[-0.457 ~ 0.46],-3133294683.426198,0.425952,X-GRADE,004-AR
65,DecisionTree,pKd pKi pIC50,kd,16.368571428571432,272.92684285714284,1.3741418472364966,-0.693876,[-0.874 ~ -0.345],-246.126234,-0.634306,X-GRADE,004-AR
66,RandomForest,delta G,kd,12.342071895564432,157.04928918188753,2.8278294011562712,0.736674,[0.42 ~ 0.894],-141.20294,0.59846,X-GRADE,004-AR
67,RandomForest,Affinity Data Value,kd,46709.46416428571,5150402313.477233,54484.76642019039,-0.336178,[-0.689 ~ 0.145],-4663519029.011783,-0.182618,X-GRADE,004-AR
68,RandomForest,pKd pKi pIC50,kd,15.901807142857143,254.75904624357142,0.41350866566691513,-0.708977,[-0.881 ~ -0.371],-229.675894,-0.563257,X-GRADE,004-AR
69,XGBoost,delta G,kd,12.521098281315394,171.07300227466592,4.375726222991943,0.647637,[0.269 ~ 0.853],-153.900948,0.475248,X-GRADE,004-AR
70,XGBoost,Affinity Data Value,kd,99332.40935825893,16226299453.651106,92985.4296875,-0.525195,[-0.793 ~ -0.087],-14692377736.319496,-0.607261,X-GRADE,004-AR
71,XGBoost,pKd pKi pIC50,kd,15.392372838429042,238.64552822377595,0.5121237635612488,-0.328611,[-0.684 ~ 0.153],-215.085637,-0.19802,X-GRADE,004-AR
72,linearRegression,delta G,all,12.91441790276978,168.1696432073679,1.4249498542669627,0.583454,[0.17 ~ 0.822],-151.272052,0.633664,GRADE,004-AR
73,linearRegression,Affinity Data Value,all,14726.698272692813,331018186.0666646,18137.85469782855,0.907116,[0.768 ~ 0.965],-299726023.501502,0.732674,GRADE,004-AR
74,linearRegression,pKd pKi pIC50,all,16.202120330175703,263.976775740441,0.255913879680914,-0.554355,[-0.808 ~ -0.128],-238.022244,-0.558856,GRADE,004-AR
75,Ridge,delta G,all,12.943411767626207,168.95621136544824,1.4789068339745224,0.600719,[0.196 ~ 0.831],-151.984264,0.657866,GRADE,004-AR
76,Ridge,Affinity Data Value,all,15179.604508657601,343418350.4531337,18516.509879167465,0.909908,[0.774 ~ 0.966],-310953962.421973,0.732674,GRADE,004-AR
77,Ridge,pKd pKi pIC50,all,16.2024585265428,263.99122175963566,0.25710596443252787,-0.557106,[-0.809 ~ -0.132],-238.035324,-0.552256,GRADE,004-AR
78,Lasso,delta G,all,12.867585108318886,166.9695689512957,1.4670751765716812,0.603821,[0.2 ~ 0.832],-150.185425,0.642465,GRADE,004-AR
79,Lasso,Affinity Data Value,all,15630.096359140784,371865954.33124703,19282.65792777397,0.917638,[0.792 ~ 0.969],-336712327.297017,0.719472,GRADE,004-AR
80,Lasso,pKd pKi pIC50,all,16.188055319858826,263.5513352661465,0.26349971641409764,-0.585681,[-0.823 ~ -0.173],-237.637021,-0.642465,GRADE,004-AR
81,ElasticNet,delta G,all,12.920209168228885,168.3415065705892,1.4660378149456983,0.598432,[0.192 ~ 0.83],-151.427669,0.657866,GRADE,004-AR
82,ElasticNet,Affinity Data Value,all,29920.217456985232,984765287.0989846,9463.709512678428,0.800587,[0.54 ~ 0.921],-891672411.553842,0.558856,GRADE,004-AR
83,ElasticNet,pKd pKi pIC50,all,16.19922045673608,263.89468650955683,0.2592403481673286,-0.565883,[-0.814 ~ -0.144],-237.947915,-0.642465,GRADE,004-AR
84,SVR,delta G,all,12.598949424452869,161.6849592942044,2.2288386243079548,0.66616,[0.298 ~ 0.862],-145.400386,0.486249,GRADE,004-AR
85,SVR,Affinity Data Value,all,313.13750343560986,99392.69136825488,37.20893288154024,0.613939,[0.216 ~ 0.837],-89995.796256,0.466447,GRADE,004-AR
86,SVR,pKd pKi pIC50,all,16.32834859724981,269.0467533090685,0.6548230304722426,-0.652896,[-0.855 ~ -0.277],-242.612941,-0.510451,GRADE,004-AR
87,DecisionTree,delta G,all,18.403349812094614,476.1953752201326,12.954243344988601,0.169255,[-0.314 ~ 0.583],-430.17917,0.351852,GRADE,004-AR
88,DecisionTree,Affinity Data Value,all,4855.695,190564074.71197852,12922.246746293458,-0.067699,[-0.511 ~ 0.404],-172549468.879355,-0.349235,GRADE,004-AR
89,DecisionTree,pKd pKi pIC50,all,14.427857142857146,209.58559285714287,1.0574545872431744,0.35998,[-0.119 ~ 0.703],-188.772826,0.126703,GRADE,004-AR
90,RandomForest,delta G,all,12.30359946425102,156.92053585311308,2.2602929174793576,0.141316,[-0.34 ~ 0.564],-141.086358,0.160616,GRADE,004-AR
91,RandomForest,Affinity Data Value,all,11491.169985499999,242822661.60999104,10525.592182156512,0.561317,[0.138 ~ 0.811],-219867891.722301,0.352035,GRADE,004-AR
92,RandomForest,pKd pKi pIC50,all,16.025757142857145,258.20020427,0.3651781265103819,-0.179216,[-0.59 ~ 0.305],-232.791749,-0.041804,GRADE,004-AR
93,XGBoost,delta G,all,12.785227170671735,169.82391877113741,3.1820943355560303,0.727889,[0.404 ~ 0.89],-152.769944,0.543455,GRADE,004-AR
94,XGBoost,Affinity Data Value,all,52051.84492396763,11531485862.255184,102687.953125,0.581742,[0.168 ~ 0.821],-10441379233.048956,0.253025,GRADE,004-AR
95,XGBoost,pKd pKi pIC50,all,15.607816892351423,244.74334371639966,0.5345006585121155,0.223156,[-0.263 ~ 0.619],-220.607007,0.204621,GRADE,004-AR
96,linearRegression,delta G,ki,15.235308572590146,236.76942517275347,2.0583449281732515,0.158657,[-0.324 ~ 0.576],-213.386887,0.374038,GRADE,004-AR
97,linearRegression,Affinity Data Value,ki,35422.81773748206,1465425679.0299242,30526.296604904437,0.90165,[0.755 ~ 0.962],-1326894506.510826,0.640264,GRADE,004-AR
98,linearRegression,pKd pKi pIC50,ki,16.598578596411084,276.89291706426076,0.33599175995095665,-0.23055,[-0.624 ~ 0.255],-249.717383,-0.380638,GRADE,004-AR
99,Ridge,delta G,ki,15.265481051690704,237.6653771553603,2.0662369623012453,0.171149,[-0.312 ~ 0.584],-214.198142,0.358636,GRADE,004-AR
100,Ridge,Affinity Data Value,ki,35512.407380439654,1461970215.7320027,30541.97854482653,0.904433,[0.762 ~ 0.963],-1323765698.72717,0.640264,GRADE,004-AR
101,Ridge,pKd pKi pIC50,ki,16.60485182093223,277.1154681120024,0.3390141304935308,-0.245642,[-0.633 ~ 0.24],-249.918895,-0.418042,GRADE,004-AR
102,Lasso,delta G,ki,15.403047117892669,241.58760603985806,2.1389751509977972,0.299367,[-0.185 ~ 0.667],-217.749591,0.30143,GRADE,004-AR
103,Lasso,Affinity Data Value,ki,22906.724181521422,636871341.9404546,21765.5925810483,0.844394,[0.629 ~ 0.939],-576665945.082812,0.638064,GRADE,004-AR
104,Lasso,pKd pKi pIC50,ki,16.583707405571506,276.43786262865893,0.346468334535521,-0.2665,[-0.646 ~ 0.219],-249.305346,-0.431243,GRADE,004-AR
105,ElasticNet,delta G,ki,15.455469121767663,243.3431974957202,2.1312936209241418,0.262334,[-0.223 ~ 0.644],-219.339221,0.352035,GRADE,004-AR
106,ElasticNet,Affinity Data Value,ki,20675.45374216703,562612298.8458622,11625.666091265719,0.744907,[0.435 ~ 0.897],-509426836.457084,0.519252,GRADE,004-AR
107,ElasticNet,pKd pKi pIC50,ki,16.60277811887682,277.07095520292097,0.3445848284004891,-0.270034,[-0.649 ~ 0.216],-249.87859,-0.431243,GRADE,004-AR
108,SVR,delta G,ki,15.499414115217615,247.09972323786377,3.1367440460193574,0.618198,[0.222 ~ 0.839],-222.740631,0.475248,GRADE,004-AR
109,SVR,Affinity Data Value,ki,130.51006808552512,17528.260961022894,22.87088873012179,0.599099,[0.193 ~ 0.83],-15870.260841,0.484049,GRADE,004-AR
110,SVR,pKd pKi pIC50,ki,16.739185691724835,282.94904328910235,0.7694226819092351,-0.650695,[-0.854 ~ -0.273],-255.201005,-0.512652,GRADE,004-AR
111,DecisionTree,delta G,ki,12.772862205369071,178.23219665569468,3.730882039592929,-0.007945,[-0.465 ~ 0.453],-160.383362,0.070243,GRADE,004-AR
112,DecisionTree,Affinity Data Value,ki,9858.426428571429,490838121.38676435,19841.11180051868,0.483639,[0.032 ~ 0.771],-444437691.518237,0.313754,GRADE,004-AR
113,DecisionTree,pKd pKi pIC50,ki,16.435,271.6600071428571,0.5710445137944098,-0.100221,[-0.535 ~ 0.376],-244.979156,0.115191,GRADE,004-AR
114,RandomForest,delta G,ki,15.554445923814171,249.1032080455095,3.0758100776747117,0.526328,[0.089 ~ 0.794],-224.55472,0.169417,GRADE,004-AR
115,RandomForest,Affinity Data Value,ki,9364.375397857142,161623113.71118447,8598.949031366843,0.572026,[0.153 ~ 0.817],-146344385.439395,0.316832,GRADE,004-AR
116,RandomForest,pKd pKi pIC50,ki,16.761392857142855,283.0984725464286,0.6114348332873601,-0.525964,[-0.793 ~ -0.088],-255.336308,-0.235424,GRADE,004-AR
117,XGBoost,delta G,ki,15.024667407444545,233.75430400855296,3.195286750793457,0.491459,[0.042 ~ 0.775],-210.656795,0.211221,GRADE,004-AR
118,XGBoost,Affinity Data Value,ki,15548.544058314732,914100510.03296,29579.6953125,-0.009097,[-0.466 ~ 0.452],-827687791.995752,0.380638,GRADE,004-AR
119,XGBoost,pKd pKi pIC50,ki,16.30161451475961,268.20720005402967,0.8357237577438354,-0.376724,[-0.712 ~ 0.099],-241.852753,-0.224423,GRADE,004-AR
120,linearRegression,delta G,kd,11.367476461474235,129.61099337146564,1.0808088798842925,0.828065,[0.595 ~ 0.933],-116.35847,0.69307,GRADE,004-AR
121,linearRegression,Affinity Data Value,kd,18316.93906263031,500905722.95752823,14943.830353142872,0.585432,[0.173 ~ 0.823],-453553571.920235,0.407041,GRADE,004-AR
122,linearRegression,pKd pKi pIC50,kd,15.965162888276408,256.32318531827474,0.20647891765566054,-0.667596,[-0.862 ~ -0.301],-231.092171,-0.607261,GRADE,004-AR
123,Ridge,delta G,kd,11.385115116815223,130.02044463739108,1.1676334532723247,0.842726,[0.626 ~ 0.939],-116.729214,0.704071,GRADE,004-AR
124,Ridge,Affinity Data Value,kd,16687.920340203273,446687858.4160179,15077.311887509459,0.66981,[0.304 ~ 0.863],-404461087.941983,0.523653,GRADE,004-AR
125,Ridge,pKd pKi pIC50,kd,15.96501946815709,256.3247291014523,0.2081559243020491,-0.674624,[-0.866 ~ -0.312],-231.093568,-0.583059,GRADE,004-AR
126,Lasso,delta G,kd,11.366006051150745,129.65881325757366,1.2032635515362182,0.822261,[0.584 ~ 0.93],-116.401769,0.69747,GRADE,004-AR
127,Lasso,Affinity Data Value,kd,13767.30538138405,379211171.381322,15433.327338955138,0.891085,[0.731 ~ 0.958],-343363178.513622,0.715072,GRADE,004-AR
128,Lasso,pKd pKi pIC50,kd,15.95339689090755,255.992273228409,0.21786511435502615,-0.719644,[-0.886 ~ -0.389],-230.792541,-0.587459,GRADE,004-AR
129,ElasticNet,delta G,kd,11.380010626624875,129.91645051328052,1.1701015011154947,0.83833,[0.617 ~ 0.937],-116.635051,0.712872,GRADE,004-AR
130,ElasticNet,Affinity Data Value,kd,38307.87265743612,1523642208.3017387,7494.167733903921,0.85392,[0.65 ~ 0.943],-1379607649.212303,0.624863,GRADE,004-AR
131,ElasticNet,pKd pKi pIC50,kd,15.955597071693209,256.0645700839732,0.2188914826927014,-0.719841,[-0.886 ~ -0.39],-230.858003,-0.572058,GRADE,004-AR
132,SVR,delta G,kd,10.525450534062196,111.41398133599871,1.1033581973977025,0.73001,[0.408 ~ 0.891],-99.881677,0.433444,GRADE,004-AR
133,SVR,Affinity Data Value,kd,744.330340422223,554268.3040804934,16.142105399319476,0.619659,[0.225 ~ 0.84],-501870.626037,0.444445,GRADE,004-AR
134,SVR,pKd pKi pIC50,kd,15.530725579068198,242.61962268120664,0.24171630950157344,-0.498692,[-0.779 ~ -0.052],-218.684048,-0.283829,GRADE,004-AR
135,DecisionTree,delta G,kd,9.278122241779004,144.70008855026137,8.923832560206096,-0.060132,[-0.505 ~ 0.41],-130.021147,-0.064447,GRADE,004-AR
136,DecisionTree,Affinity Data Value,kd,14431.830714285714,1109050758.9504073,30012.99365444975,0.10729,[-0.37 ~ 0.54],-1004208797.617591,-0.196895,GRADE,004-AR
137,DecisionTree,pKd pKi pIC50,kd,16.985,291.27117857142855,1.4204397134661637,0.114252,[-0.364 ~ 0.545],-262.736423,0.206675,GRADE,004-AR
138,RandomForest,delta G,kd,11.877511117805982,147.43473975551586,2.959520261133252,0.563263,[0.141 ~ 0.812],-132.497283,0.50165,GRADE,004-AR
139,RandomForest,Affinity Data Value,kd,11881.313614285715,298201726.06037,12531.929817327975,0.499367,[0.052 ~ 0.78],-270011803.830447,0.49285,GRADE,004-AR
140,RandomForest,pKd pKi pIC50,kd,15.828321428571432,252.2158289821429,0.500179632273064,-0.30961,[-0.673 ~ 0.174],-227.373095,-0.215622,GRADE,004-AR
141,XGBoost,delta G,kd,11.22947932107108,131.80590614791444,2.3681070804595947,0.202445,[-0.283 ~ 0.605],-118.345891,0.118812,GRADE,004-AR
142,XGBoost,Affinity Data Value,kd,38957.355128784184,2497616666.63029,33479.99609375,0.08661,[-0.388 ~ 0.525],-2261509323.04369,-0.125413,GRADE,004-AR
143,XGBoost,pKd pKi pIC50,kd,16.533860504967826,275.4676618316272,0.7820051312446594,-0.233133,[-0.625 ~ 0.253],-248.426861,-0.286029,GRADE,004-AR
144,linearRegression,delta G,all,13.151379547555845,177.49266236095465,2.228756801339716,0.390976,[0.102 ~ 0.619],-84.333498,0.298628,X-GRADE,009-CDK2
145,linearRegression,Affinity Data Value,all,104323.76564243434,11293084267.413328,20239.259829657945,-0.146441,[-0.429 ~ 0.162],-5429398465.357306,-0.146691,X-GRADE,009-CDK2
146,linearRegression,pKd pKi pIC50,all,14.881420208810045,224.20051025221588,0.43888482582160865,-0.372243,[-0.606 ~ -0.08],-106.789323,-0.311542,X-GRADE,009-CDK2
147,Ridge,delta G,all,12.980615324842708,173.0100109936885,2.2326471307199913,0.396133,[0.108 ~ 0.623],-82.178365,0.319814,X-GRADE,009-CDK2
148,Ridge,Affinity Data Value,all,107128.71011712433,11987479870.935583,22603.24009104528,-0.197475,[-0.471 ~ 0.11],-5763244413.50877,-0.195319,X-GRADE,009-CDK2
149,Ridge,pKd pKi pIC50,all,14.848342504406375,223.20244757513717,0.42838201976771995,-0.376868,[-0.609 ~ -0.085],-106.309482,-0.335149,X-GRADE,009-CDK2
150,Lasso,delta G,all,13.393172523414226,183.39113093776714,2.039159544521965,0.378131,[0.087 ~ 0.61],-87.169317,0.335351,X-GRADE,009-CDK2
151,Lasso,Affinity Data Value,all,53399.01883460195,3016377289.7657022,12842.643010510412,0.307861,[0.007 ~ 0.557],-1450189676.435222,0.288539,X-GRADE,009-CDK2
152,Lasso,pKd pKi pIC50,all,14.919673825785367,225.26822225430087,0.4073923286207016,-0.362182,[-0.598 ~ -0.068],-107.302649,-0.315375,X-GRADE,009-CDK2
153,ElasticNet,delta G,all,13.3566113333627,182.80114939944124,2.231641194645264,0.412944,[0.128 ~ 0.635],-86.88567,0.374899,X-GRADE,009-CDK2
154,ElasticNet,Affinity Data Value,all,43674.13349737609,2151132737.391074,15611.46102262735,0.33126,[0.033 ~ 0.575],-1034204341.123203,0.246368,X-GRADE,009-CDK2
155,ElasticNet,pKd pKi pIC50,all,14.941501152502605,225.95863380014006,0.41428778220578205,-0.383732,[-0.614 ~ -0.093],-107.634579,-0.334544,X-GRADE,009-CDK2
156,SVR,delta G,all,15.043050413401794,232.51584843753128,2.681707613779294,0.39418,[0.105 ~ 0.622],-110.787104,0.340194,X-GRADE,009-CDK2
157,SVR,Affinity Data Value,all,290.6387073133008,85575.33414586849,33.808561165409884,0.416565,[0.132 ~ 0.638],-41141.222706,0.34201,X-GRADE,009-CDK2
158,SVR,pKd pKi pIC50,all,15.285416062939404,236.65379917546773,0.5550910934570542,-0.388315,[-0.617 ~ -0.099],-112.776515,-0.348265,X-GRADE,009-CDK2
159,DecisionTree,delta G,all,11.49264798123078,200.15718424185042,9.814883024289118,0.272939,[-0.031 ~ 0.531],-95.229965,0.182221,X-GRADE,009-CDK2
160,DecisionTree,Affinity Data Value,all,24001.3323548387,3422646613.248656,53353.50708969403,0.091377,[-0.216 ~ 0.382],-1645512582.880832,-0.002534,X-GRADE,009-CDK2
