,Modeltype,Scoretype,Datatype,Mean absolute error (mae),Mean squared error (mse),Standard Diviation (SD),Pearson correlation coefficient (r),90% Confidence interval,Coefficient of determination (r²),Featuretype,Selection_size,Selection_method
20,SVR,delta G,all,4673.098312758306,22788139.634447098,4.45840745356503,-0.452262,[-0.527 ~ -0.371],-23.080063,slim,size5,f regression 
21,DecisionTree,delta G,all,4673.36033853589,22791746.01414648,10.286430111040676,-0.249558,[-0.339 ~ -0.156],-23.083873,slim,size5,f regression 
22,RandomForest,delta G,all,4673.248454268603,22789830.381668948,5.842549081783692,-0.369153,[-0.451 ~ -0.282],-23.081849,slim,size5,f regression 
23,XGBoost,delta G,all,4673.132582157519,22788357.70300483,7.644017696380615,-0.254318,[-0.343 ~ -0.161],-23.080293,slim,size5,f regression 
24,linearRegression,delta G,all,4672.748027902333,22780567.691701237,2.1246219204746217,0.087043,[-0.011 ~ 0.183],-23.072061,final,size5,r regression 
25,Ridge,delta G,all,4672.731164035667,22780451.69899923,1.863020553873281,0.087498,[-0.01 ~ 0.184],-23.071939,final,size5,r regression 
26,Lasso,delta G,all,4672.7466037128725,22780824.87879102,0.5010293060543866,0.087245,[-0.01 ~ 0.183],-23.072333,final,size5,r regression 
27,ElasticNet,delta G,all,4672.758558347343,22780949.19213057,0.4258386672202241,0.087369,[-0.01 ~ 0.183],-23.072465,final,size5,r regression 
28,SVR,delta G,all,4672.6982279019085,22780442.327455763,0.2249433516485282,0.03497,[-0.063 ~ 0.132],-23.071929,final,size5,r regression 
29,DecisionTree,delta G,all,4673.121558553866,22785162.242303457,10.799549337265772,-0.030062,[-0.127 ~ 0.068],-23.076916,final,size5,r regression 
30,RandomForest,delta G,all,4673.115544778924,22784041.86860096,6.696324936025291,0.027687,[-0.07 ~ 0.125],-23.075733,final,size5,r regression 
31,XGBoost,delta G,all,4673.065208963745,22783844.20942616,6.900406837463379,0.006756,[-0.091 ~ 0.104],-23.075524,final,size5,r regression 
32,linearRegression,delta G,all,4672.748027902333,22780567.691701237,2.124621920474619,0.087043,[-0.011 ~ 0.183],-23.072061,GAP,size5,r regression 
33,Ridge,delta G,all,4672.731164035667,22780451.698999222,1.8630205538760645,0.087498,[-0.01 ~ 0.184],-23.071939,GAP,size5,r regression 
34,Lasso,delta G,all,4672.798767743645,22781345.32120542,0.3033129829195501,0.088027,[-0.01 ~ 0.184],-23.072883,GAP,size5,r regression 
35,ElasticNet,delta G,all,4672.683668737091,22780192.50359316,0.7336244094167097,0.090766,[-0.007 ~ 0.187],-23.071665,GAP,size5,r regression 
36,SVR,delta G,all,4672.698227901907,22780442.327455763,0.2249433516485304,0.03497,[-0.063 ~ 0.132],-23.071929,GAP,size5,r regression 
37,DecisionTree,delta G,all,4673.026788346559,22784346.47663693,10.87313755400337,-0.033091,[-0.13 ~ 0.065],-23.076054,GAP,size5,r regression 
38,RandomForest,delta G,all,4673.131073008777,22784217.420129057,6.749915151343643,0.025206,[-0.073 ~ 0.123],-23.075918,GAP,size5,r regression 
39,XGBoost,delta G,all,4673.065208963746,22783844.209426165,6.900406837463379,0.006756,[-0.091 ~ 0.104],-23.075524,GAP,size5,r regression 
40,linearRegression,delta G,all,4672.303267349302,22777950.084768508,2.003951983257596,-0.302494,[-0.389 ~ -0.211],-23.069295,slim,size5,r regression 
41,Ridge,delta G,all,4672.300542594038,22777917.888657022,1.9929719353322608,-0.302435,[-0.389 ~ -0.211],-23.069261,slim,size5,r regression 
42,Lasso,delta G,all,4672.304594281893,22777958.788483407,1.9984465762969743,-0.302382,[-0.389 ~ -0.211],-23.069305,slim,size5,r regression 
43,ElasticNet,delta G,all,4672.30187855278,22777927.31670877,1.988495534642282,-0.30233,[-0.388 ~ -0.211],-23.069271,slim,size5,r regression 
44,SVR,delta G,all,4672.158728168366,22777798.797412,2.964057026006558,-0.411656,[-0.49 ~ -0.327],-23.069136,slim,size5,r regression 
45,DecisionTree,delta G,all,4672.495753953747,22783137.17490064,11.248067419863167,-0.203124,[-0.295 ~ -0.108],-23.074777,slim,size5,r regression 
46,RandomForest,delta G,all,4672.125348252847,22778251.463849287,4.5830413047727525,-0.350612,[-0.433 ~ -0.262],-23.069614,slim,size5,r regression 
47,XGBoost,delta G,all,4671.866636646614,22776283.905645605,7.235084056854248,-0.251824,[-0.341 ~ -0.158],-23.067535,slim,size5,r regression 
48,linearRegression,delta G,all,4674.4011949934975,22798551.42913895,3.777520445632881,-0.294136,[-0.381 ~ -0.202],-23.091065,final,size5,mutual info regression
49,Ridge,delta G,all,4674.39819419767,22798518.49250088,3.770950716597907,-0.29399,[-0.381 ~ -0.202],-23.09103,final,size5,mutual info regression
50,Lasso,delta G,all,4674.520964176983,22799647.74885705,3.654299267449255,-0.300893,[-0.387 ~ -0.209],-23.092223,final,size5,mutual info regression
51,ElasticNet,delta G,all,4674.396029402798,22798456.44700306,3.692841752766833,-0.29447,[-0.381 ~ -0.203],-23.090964,final,size5,mutual info regression
52,SVR,delta G,all,4674.005155507965,22795007.524033777,3.737700144126457,-0.319097,[-0.404 ~ -0.229],-23.08732,final,size5,mutual info regression
53,DecisionTree,delta G,all,4674.241402862895,22798828.569942325,10.551978931592789,-0.186833,[-0.279 ~ -0.091],-23.091358,final,size5,mutual info regression
54,RandomForest,delta G,all,4674.163435392068,22797253.75325236,5.582041190207726,-0.282669,[-0.37 ~ -0.19],-23.089693,final,size5,mutual info regression
55,XGBoost,delta G,all,4673.871774910609,22794636.21598232,7.293720722198486,-0.222455,[-0.313 ~ -0.128],-23.086928,final,size5,mutual info regression
56,linearRegression,delta G,all,4672.859681207729,22786456.796749525,3.637256174213705,-0.632658,[-0.688 ~ -0.57],-23.078284,GAP,size5,mutual info regression
57,Ridge,delta G,all,4672.875776562142,22786595.64838248,3.630678478635346,-0.632172,[-0.687 ~ -0.57],-23.078431,GAP,size5,mutual info regression
58,Lasso,delta G,all,4672.881632502949,22786651.63634825,3.629664589892591,-0.632528,[-0.688 ~ -0.57],-23.07849,GAP,size5,mutual info regression
59,ElasticNet,delta G,all,4672.867519959736,22786525.187784377,3.634216215195943,-0.632501,[-0.688 ~ -0.57],-23.078357,GAP,size5,mutual info regression
60,SVR,delta G,all,4672.286746423571,22781933.143714502,4.021557525589232,-0.677968,[-0.727 ~ -0.621],-23.073504,GAP,size5,mutual info regression
61,DecisionTree,delta G,all,4671.198025910166,22773610.340313066,10.549485227932848,-0.343929,[-0.427 ~ -0.255],-23.06471,GAP,size5,mutual info regression
62,RandomForest,delta G,all,4672.3715378809,22784082.44684445,5.441980143500553,-0.627901,[-0.684 ~ -0.565],-23.075775,GAP,size5,mutual info regression
63,XGBoost,delta G,all,4671.799200031615,22778104.14370839,6.876561164855957,-0.448478,[-0.523 ~ -0.367],-23.069458,GAP,size5,mutual info regression
64,linearRegression,delta G,all,4672.859681207729,22786456.796749525,3.637256174213704,-0.632658,[-0.688 ~ -0.57],-23.078284,slim,size5,mutual info regression
65,Ridge,delta G,all,4672.875776562143,22786595.64838248,3.630678478633308,-0.632172,[-0.687 ~ -0.57],-23.078431,slim,size5,mutual info regression
66,Lasso,delta G,all,4673.077154781152,22788379.191750318,3.5725763995934354,-0.628339,[-0.684 ~ -0.565],-23.080316,slim,size5,mutual info regression
67,ElasticNet,delta G,all,4672.869253132025,22786540.3053792,3.633550763922545,-0.632465,[-0.688 ~ -0.57],-23.078373,slim,size5,mutual info regression
68,SVR,delta G,all,4672.286718418732,22781932.95169571,4.021605340736304,-0.677969,[-0.727 ~ -0.621],-23.073504,slim,size5,mutual info regression
69,DecisionTree,delta G,all,4671.0870683003,22772117.20653404,10.33385946693355,-0.328622,[-0.413 ~ -0.239],-23.063132,slim,size5,mutual info regression
70,RandomForest,delta G,all,4672.294775048454,22783200.33354081,5.343603946585401,-0.623712,[-0.68 ~ -0.56],-23.074843,slim,size5,mutual info regression
71,XGBoost,delta G,all,4671.799200031615,22778104.143708386,6.876561164855957,-0.448478,[-0.523 ~ -0.367],-23.069458,slim,size5,mutual info regression
72,linearRegression,delta G,all,4673.969744113697,22792784.544511978,3.367616898218075,-0.065809,[-0.162 ~ 0.032],-23.084971,final,size10,f regression 
73,Ridge,delta G,all,4673.94359700232,22792590.62036516,3.1101282565744395,-0.079878,[-0.176 ~ 0.018],-23.084766,final,size10,f regression 
74,Lasso,delta G,all,4673.905550160163,22792479.4856781,2.121969435760444,-0.177555,[-0.271 ~ -0.081],-23.084649,final,size10,f regression 
75,ElasticNet,delta G,all,4673.8423573102455,22791845.95092716,2.036524928409666,-0.174286,[-0.267 ~ -0.078],-23.083979,final,size10,f regression 
76,SVR,delta G,all,4673.683145612524,22790633.02615265,2.320673203257862,-0.213647,[-0.305 ~ -0.118],-23.082697,final,size10,f regression 
77,DecisionTree,delta G,all,4674.296764560741,22797526.49499785,11.21367455668835,-0.091746,[-0.188 ~ 0.006],-23.089982,final,size10,f regression 
78,RandomForest,delta G,all,4673.620685528565,22790364.240000226,5.662949742621684,-0.113725,[-0.209 ~ -0.016],-23.082413,final,size10,f regression 
79,XGBoost,delta G,all,4673.985487534691,22794152.30003108,6.445001602172852,-0.129318,[-0.224 ~ -0.032],-23.086416,final,size10,f regression 
80,linearRegression,delta G,all,4673.969744113695,22792784.544511955,3.367616898234569,-0.065809,[-0.162 ~ 0.032],-23.084971,GAP,size10,f regression 
81,Ridge,delta G,all,4673.9435970023205,22792590.620365165,3.1101282565755968,-0.079878,[-0.176 ~ 0.018],-23.084766,GAP,size10,f regression 
82,Lasso,delta G,all,4673.925550799199,22792677.70002191,2.0669633172438693,-0.185135,[-0.278 ~ -0.089],-23.084858,GAP,size10,f regression 
83,ElasticNet,delta G,all,4673.845584305496,22791879.376388323,2.08374209668049,-0.171093,[-0.264 ~ -0.075],-23.084014,GAP,size10,f regression 
84,SVR,delta G,all,4673.683224684253,22790633.761167783,2.3207193743280023,-0.213642,[-0.305 ~ -0.118],-23.082698,GAP,size10,f regression 
85,DecisionTree,delta G,all,4674.501299749077,22799570.49002344,11.147997284120972,-0.098432,[-0.194 ~ -0.001],-23.092142,GAP,size10,f regression 
86,RandomForest,delta G,all,4673.663158099485,22790936.408365976,5.885426581432443,-0.124499,[-0.219 ~ -0.027],-23.083018,GAP,size10,f regression 
87,XGBoost,delta G,all,4673.985487534691,22794152.30003108,6.445001602172852,-0.129318,[-0.224 ~ -0.032],-23.086416,GAP,size10,f regression 
88,linearRegression,delta G,all,4672.617736888159,22783298.857698765,3.852116422138424,-0.47749,[-0.55 ~ -0.398],-23.074947,slim,size10,f regression 
89,Ridge,delta G,all,4672.726867348056,22784276.201949123,3.796207875150806,-0.478824,[-0.551 ~ -0.4],-23.07598,slim,size10,f regression 
90,Lasso,delta G,all,4672.681738452626,22783872.02872321,3.8178039385130127,-0.478459,[-0.55 ~ -0.399],-23.075553,slim,size10,f regression 
91,ElasticNet,delta G,all,4672.727929766696,22784286.01166789,3.795486819330413,-0.478899,[-0.551 ~ -0.4],-23.075991,slim,size10,f regression 
92,SVR,delta G,all,4672.918390169128,22787019.154097967,4.219727148293344,-0.546437,[-0.611 ~ -0.474],-23.078879,slim,size10,f regression 
93,DecisionTree,delta G,all,4673.805390627814,22797171.855577745,10.803662501191807,-0.297314,[-0.384 ~ -0.206],-23.089607,slim,size10,f regression 
94,RandomForest,delta G,all,4673.20064722785,22790249.209352903,5.231527998138779,-0.49798,[-0.568 ~ -0.421],-23.082292,slim,size10,f regression 
95,XGBoost,delta G,all,4672.754622154052,22787859.83601357,7.962118148803711,-0.439723,[-0.515 ~ -0.357],-23.079767,slim,size10,f regression 
96,linearRegression,delta G,all,4672.816860525384,22781321.7755622,2.2788980906526173,0.056313,[-0.042 ~ 0.153],-23.072858,final,size10,r regression 
97,Ridge,delta G,all,4672.793006565089,22781142.00576276,2.0342519740370784,0.051914,[-0.046 ~ 0.149],-23.072668,final,size10,r regression 
98,Lasso,delta G,all,4672.744648052863,22780869.747362077,1.0586505103715336,0.011056,[-0.087 ~ 0.109],-23.072381,final,size10,r regression 
99,ElasticNet,delta G,all,4672.741030609315,22780834.53533097,1.058431995983088,0.01174,[-0.086 ~ 0.109],-23.072343,final,size10,r regression 
100,SVR,delta G,all,4672.913808924421,22782517.873027213,0.8896458787559983,-0.025861,[-0.123 ~ 0.072],-23.074122,final,size10,r regression 
101,DecisionTree,delta G,all,4673.329949191853,22785586.395478766,11.173703475908134,0.041405,[-0.056 ~ 0.138],-23.077365,final,size10,r regression 
102,RandomForest,delta G,all,4673.154467351319,22784118.238380067,6.459586611116396,0.051323,[-0.047 ~ 0.148],-23.075813,final,size10,r regression 
103,XGBoost,delta G,all,4672.807527255577,22781836.383379947,6.609383583068848,-0.024392,[-0.122 ~ 0.073],-23.073402,final,size10,r regression 
104,linearRegression,delta G,all,4672.517305397015,22778666.37090504,2.314274665587782,0.023499,[-0.074 ~ 0.121],-23.070052,GAP,size10,r regression 
105,Ridge,delta G,all,4672.4934797012165,22778486.060332347,2.08276571162679,0.015411,[-0.082 ~ 0.113],-23.069862,GAP,size10,r regression 
106,Lasso,delta G,all,4672.462462881973,22778369.56426369,1.1932956238009105,-0.049025,[-0.146 ~ 0.049],-23.069739,GAP,size10,r regression 
107,ElasticNet,delta G,all,4672.490975224851,22778473.51767661,2.023412513493687,0.013042,[-0.085 ~ 0.111],-23.069849,GAP,size10,r regression 
108,SVR,delta G,all,4672.75576797829,22781678.17481476,1.6386682161338268,-0.213339,[-0.305 ~ -0.118],-23.073235,GAP,size10,r regression 
109,DecisionTree,delta G,all,4672.498278272402,22782004.77474752,10.55510945293327,-0.160904,[-0.255 ~ -0.064],-23.07358,GAP,size10,r regression 
110,RandomForest,delta G,all,4672.11340083746,22776770.088745024,4.922178448501999,-0.183089,[-0.276 ~ -0.087],-23.068049,GAP,size10,r regression 
111,XGBoost,delta G,all,4672.959425485326,22783578.116989616,6.506120681762695,-0.050334,[-0.147 ~ 0.048],-23.075243,GAP,size10,r regression 
112,linearRegression,delta G,all,4672.447580865586,22780811.04107935,3.7471853135200055,-0.367839,[-0.449 ~ -0.28],-23.072319,slim,size10,r regression 
113,Ridge,delta G,all,4672.45338617279,22780853.46608619,3.7191360476477,-0.369008,[-0.45 ~ -0.282],-23.072363,slim,size10,r regression 
114,Lasso,delta G,all,4672.456844139447,22780892.25571702,3.7309546059186536,-0.368719,[-0.45 ~ -0.281],-23.072404,slim,size10,r regression 
115,ElasticNet,delta G,all,4672.457844850568,22780893.94805272,3.714341302654213,-0.369325,[-0.451 ~ -0.282],-23.072406,slim,size10,r regression 
116,SVR,delta G,all,4672.343114666664,22780342.41181144,3.4986254326840154,-0.468805,[-0.542 ~ -0.389],-23.071823,slim,size10,r regression 
117,DecisionTree,delta G,all,4674.080161253735,22797471.3579495,9.818912491259695,-0.209422,[-0.301 ~ -0.114],-23.089923,slim,size10,r regression 
118,RandomForest,delta G,all,4672.161535194861,22779343.74691427,4.169690824064765,-0.478774,[-0.551 ~ -0.4],-23.070768,slim,size10,r regression 
119,XGBoost,delta G,all,4671.633780171979,22774656.95556878,6.627027988433838,-0.318143,[-0.403 ~ -0.228],-23.065816,slim,size10,r regression 
120,linearRegression,delta G,all,4674.135646177177,22796242.846075207,3.9360240181731663,-0.304841,[-0.391 ~ -0.214],-23.088625,final,size10,mutual info regression
121,Ridge,delta G,all,4674.135842561733,22796244.00393614,3.935489319543736,-0.304795,[-0.391 ~ -0.214],-23.088626,final,size10,mutual info regression
122,Lasso,delta G,all,4674.194847889694,22796795.78390111,3.7973369803235792,-0.316052,[-0.401 ~ -0.225],-23.08921,final,size10,mutual info regression
123,ElasticNet,delta G,all,4674.172029594634,22796525.806064893,3.823680484791199,-0.306231,[-0.392 ~ -0.215],-23.088924,final,size10,mutual info regression
124,SVR,delta G,all,4673.787667025714,22793408.958645865,3.809423163036077,-0.371636,[-0.453 ~ -0.284],-23.085631,final,size10,mutual info regression
125,DecisionTree,delta G,all,4674.497332569818,22798911.897393998,10.675944506042542,-0.073359,[-0.17 ~ 0.024],-23.091446,final,size10,mutual info regression
126,RandomForest,delta G,all,4674.322332291281,22799216.79145512,5.05499036465747,-0.361272,[-0.443 ~ -0.273],-23.091768,final,size10,mutual info regression
127,XGBoost,delta G,all,4674.436499257239,22800770.507053077,7.86583137512207,-0.261581,[-0.35 ~ -0.168],-23.09341,final,size10,mutual info regression
128,linearRegression,delta G,all,4672.027840679918,22779041.83093969,3.8152194203231753,-0.651263,[-0.704 ~ -0.591],-23.070449,GAP,size10,mutual info regression
129,Ridge,delta G,all,4672.052578126742,22779256.980633475,3.8060775108018263,-0.650676,[-0.704 ~ -0.591],-23.070676,GAP,size10,mutual info regression
130,Lasso,delta G,all,4672.15588910451,22780186.62997585,3.7777531390471095,-0.650726,[-0.704 ~ -0.591],-23.071659,GAP,size10,mutual info regression
131,ElasticNet,delta G,all,4672.049476440844,22779231.399246167,3.8072683038668553,-0.650931,[-0.704 ~ -0.591],-23.070649,GAP,size10,mutual info regression
132,SVR,delta G,all,4672.302017068155,22782296.290128555,4.335680197235803,-0.654671,[-0.707 ~ -0.595],-23.073888,GAP,size10,mutual info regression
133,DecisionTree,delta G,all,4671.931311918364,22781345.19693534,11.0700113457005,-0.368263,[-0.45 ~ -0.281],-23.072883,GAP,size10,mutual info regression
134,RandomForest,delta G,all,4672.047073096788,22780940.641835783,5.399219502769529,-0.622459,[-0.679 ~ -0.559],-23.072456,GAP,size10,mutual info regression
135,XGBoost,delta G,all,4671.534633032647,22776014.331504088,7.157290935516357,-0.458046,[-0.532 ~ -0.377],-23.06725,GAP,size10,mutual info regression
136,linearRegression,delta G,all,4673.010959570222,22787563.95941547,3.64268911405217,-0.588438,[-0.649 ~ -0.521],-23.079454,slim,size10,mutual info regression
137,Ridge,delta G,all,4673.011805649521,22787572.28567022,3.6412016938048057,-0.588739,[-0.649 ~ -0.521],-23.079463,slim,size10,mutual info regression
138,Lasso,delta G,all,4673.03437567198,22787783.410921432,3.6311289995600937,-0.590409,[-0.651 ~ -0.523],-23.079686,slim,size10,mutual info regression
139,ElasticNet,delta G,all,4673.0158681391085,22787610.982817966,3.637501440263214,-0.589445,[-0.65 ~ -0.522],-23.079504,slim,size10,mutual info regression
140,SVR,delta G,all,4672.872606924034,22787644.890439063,4.165774004296512,-0.683566,[-0.732 ~ -0.628],-23.07954,slim,size10,mutual info regression
141,DecisionTree,delta G,all,4672.414120990586,22782812.60444043,9.582289321970006,-0.263805,[-0.352 ~ -0.171],-23.074434,slim,size10,mutual info regression
142,RandomForest,delta G,all,4672.451686474398,22784723.610280603,4.940064533873447,-0.681021,[-0.73 ~ -0.625],-23.076453,slim,size10,mutual info regression
143,XGBoost,delta G,all,4672.312380250697,22783764.08232596,6.746053695678711,-0.523173,[-0.591 ~ -0.448],-23.075439,slim,size10,mutual info regression
144,linearRegression,delta G,all,4673.820681039781,22793351.090611417,4.606361639135737,-0.265701,[-0.354 ~ -0.173],-23.08557,final,size15,f regression 
145,Ridge,delta G,all,4673.792096364217,22793127.987392057,4.420414930100612,-0.2822,[-0.37 ~ -0.19],-23.085334,final,size15,f regression 
146,Lasso,delta G,all,4673.768371514363,22793122.267489936,3.862279585052795,-0.352347,[-0.435 ~ -0.264],-23.085328,final,size15,f regression 
147,ElasticNet,delta G,all,4673.729694440697,22792720.17186811,3.898692346300417,-0.343672,[-0.427 ~ -0.255],-23.084903,final,size15,f regression 
148,SVR,delta G,all,4673.374600803363,22789774.06192948,3.845634304416669,-0.398319,[-0.477 ~ -0.313],-23.08179,final,size15,f regression 
149,DecisionTree,delta G,all,4672.36056701849,22779973.37853028,10.712217408843772,-0.122663,[-0.218 ~ -0.025],-23.071433,final,size15,f regression 
150,RandomForest,delta G,all,4673.835476085693,22795094.685094032,5.886611357512284,-0.346905,[-0.43 ~ -0.258],-23.087412,final,size15,f regression 
151,XGBoost,delta G,all,4673.521017845455,22792024.600906976,7.453018188476562,-0.263539,[-0.352 ~ -0.17],-23.084168,final,size15,f regression 
152,linearRegression,delta G,all,4673.789802641465,22793111.73920451,4.645525730314556,-0.268874,[-0.357 ~ -0.176],-23.085317,GAP,size15,f regression 
153,Ridge,delta G,all,4673.760213839249,22792883.922816444,4.459940424859388,-0.285877,[-0.373 ~ -0.194],-23.085076,GAP,size15,f regression 
154,Lasso,delta G,all,4673.692627892457,22792482.286969103,3.9370354317859135,-0.354462,[-0.437 ~ -0.266],-23.084651,GAP,size15,f regression 
155,ElasticNet,delta G,all,4673.6872865039695,22792401.894600395,3.902606156561343,-0.353612,[-0.436 ~ -0.265],-23.084567,GAP,size15,f regression 
156,SVR,delta G,all,4673.240326705331,22788905.800178725,4.1400228216853865,-0.417717,[-0.495 ~ -0.334],-23.080872,GAP,size15,f regression 
157,DecisionTree,delta G,all,4673.659272856949,22794878.66536357,11.71200256573072,-0.232661,[-0.323 ~ -0.138],-23.087184,GAP,size15,f regression 
158,RandomForest,delta G,all,4673.577553690599,22792677.727983568,5.583237262293261,-0.365518,[-0.447 ~ -0.278],-23.084858,GAP,size15,f regression 
159,XGBoost,delta G,all,4673.747487634509,22794156.32066772,7.279202938079834,-0.271061,[-0.359 ~ -0.178],-23.08642,GAP,size15,f regression 
160,linearRegression,delta G,all,4672.087475416004,22779237.111975707,4.574426962561154,-0.50179,[-0.571 ~ -0.425],-23.070655,slim,size15,f regression 
161,Ridge,delta G,all,4672.108386600798,22779421.65606553,4.55216270154598,-0.503042,[-0.573 ~ -0.426],-23.07085,slim,size15,f regression 
162,Lasso,delta G,all,4672.233663505311,22780536.887074284,4.435430296972018,-0.509983,[-0.579 ~ -0.434],-23.072029,slim,size15,f regression 
163,ElasticNet,delta G,all,4672.151077933532,22779798.73932268,4.508045825618008,-0.505521,[-0.575 ~ -0.429],-23.071249,slim,size15,f regression 
164,SVR,delta G,all,4672.947170917275,22787582.0209643,4.115654167559183,-0.597065,[-0.656 ~ -0.53],-23.079473,slim,size15,f regression 
165,DecisionTree,delta G,all,4672.699437063902,22788630.796150368,10.940678407048765,-0.377812,[-0.459 ~ -0.291],-23.080582,slim,size15,f regression 
166,RandomForest,delta G,all,4673.200654785524,22790694.357854515,5.052805373349286,-0.561055,[-0.624 ~ -0.49],-23.082762,slim,size15,f regression 
167,XGBoost,delta G,all,4672.3630723631,22783663.20955442,7.0425333976745605,-0.458916,[-0.533 ~ -0.378],-23.075332,slim,size15,f regression 
168,linearRegression,delta G,all,4672.739111401574,22780715.08873344,2.622355713940977,0.025763,[-0.072 ~ 0.123],-23.072217,final,size15,r regression 
169,Ridge,delta G,all,4672.71510158718,22780543.75745232,2.330831731352508,0.016968,[-0.081 ~ 0.114],-23.072036,final,size15,r regression 
170,Lasso,delta G,all,4672.6756327884505,22780397.40533189,1.273946951458349,-0.06026,[-0.157 ~ 0.038],-23.071881,final,size15,r regression 
171,ElasticNet,delta G,all,4672.681933381069,22780355.864977907,1.6852339679707895,-0.014555,[-0.112 ~ 0.083],-23.071838,final,size15,r regression 
172,SVR,delta G,all,4673.006385577722,22783719.041589208,1.3419517359654751,-0.145431,[-0.24 ~ -0.048],-23.075391,final,size15,r regression 
173,DecisionTree,delta G,all,4673.156544396623,22783930.737379026,11.047762438683325,0.043372,[-0.054 ~ 0.14],-23.075615,final,size15,r regression 
174,RandomForest,delta G,all,4672.561164067254,22779968.52372564,5.550310640458971,-0.070474,[-0.167 ~ 0.027],-23.071428,final,size15,r regression 
175,XGBoost,delta G,all,4672.766091509435,22781650.20936626,6.115006923675537,-0.043793,[-0.141 ~ 0.054],-23.073205,final,size15,r regression 
176,linearRegression,delta G,all,4672.505921432724,22779370.02517558,3.0381770683715974,-0.118481,[-0.214 ~ -0.021],-23.070796,GAP,size15,r regression 
177,Ridge,delta G,all,4672.48409607866,22779212.192496546,2.83291753822442,-0.135653,[-0.23 ~ -0.039],-23.070629,GAP,size15,r regression 
178,Lasso,delta G,all,4672.457401791295,22779166.36138301,2.1100650934872545,-0.232595,[-0.323 ~ -0.138],-23.070581,GAP,size15,r regression 
179,ElasticNet,delta G,all,4672.4812262094565,22779197.674629305,2.782638227983747,-0.140429,[-0.235 ~ -0.043],-23.070614,GAP,size15,r regression 
180,SVR,delta G,all,4672.445004021318,22779780.846021958,2.6077123175199346,-0.331694,[-0.416 ~ -0.242],-23.07123,GAP,size15,r regression 
181,DecisionTree,delta G,all,4673.068961042049,22785974.42129376,10.088485381304432,-0.099361,[-0.195 ~ -0.002],-23.077775,GAP,size15,r regression 
182,RandomForest,delta G,all,4672.488751233199,22781042.973524146,4.772036023729671,-0.271443,[-0.36 ~ -0.179],-23.072564,GAP,size15,r regression 
