,Modeltype,Scoretype,Datatype,Mean absolute error (mae),Mean squared error (mse),Standard Diviation (SD),Pearson correlation coefficient (r),90% Confidence interval,Coefficient of determination (r²),add. information
42,Lasso,delta G,all,4672.5927780107,22784675.5185267,4.424232478110953,-0.602222,[-0.661 ~ -0.536],-23.076402,final
43,Lasso,Affinity Data Value,all,286354.57099915086,1078232268251.5151,56907.748366037085,0.265671,[0.173 ~ 0.354],-0.015118,final
44,Lasso,pKd pKi pIC50,all,1.3766837119522068,2.8998136628309092,1.0000853471551394,0.652833,[0.593 ~ 0.706],0.38445,final
45,ElasticNet,delta G,all,4672.597133001395,22784627.956714027,4.407963318964015,-0.59417,[-0.654 ~ -0.527],-23.076352,final
46,ElasticNet,Affinity Data Value,all,282865.75619574724,1095562989228.2921,27150.110709830868,0.276079,[0.183 ~ 0.364],-0.031435,final
47,ElasticNet,pKd pKi pIC50,all,1.3892106079866502,2.9289142760180398,0.9508322267987803,0.65284,[0.593 ~ 0.706],0.378273,final
48,linearRegression,delta G,ki,1.377707599191255e+22,5.409522952277595e+46,2.3217541148857473e+23,-0.083708,[-0.18 ~ 0.014],-5.716203848051449e+40,final
49,linearRegression,Affinity Data Value,ki,3.0594139406322137e+26,2.667603893138398e+55,5.155816016382144e+27,-0.000403,[-0.098 ~ 0.097],-2.511457046061301e+43,final
50,linearRegression,pKd pKi pIC50,ki,1.2260294346469554e+23,4.2839722976690896e+48,2.0661415285315966e+24,0.079731,[-0.018 ~ 0.176],-9.093684612649441e+47,final
51,Ridge,delta G,ki,1448533190.599683,5.979969424083372e+20,24411036397.083538,0.083708,[-0.014 ~ 0.18],-631899051630481.0,final
52,Ridge,Affinity Data Value,ki,1851697457300.639,9.772029714740108e+26,31205355122073.926,-0.000403,[-0.098 ~ 0.097],-920002888904584.6,final
53,Ridge,pKd pKi pIC50,ki,282589854.4432993,2.2759252136708735e+19,4762288851.99936,-0.079731,[-0.176 ~ 0.018],-4.831157779979275e+18,final
54,Lasso,delta G,ki,4677.697822061533,22841014.30958511,60.42600184381877,-0.086397,[-0.182 ~ 0.011],-23.135935,final
55,Lasso,Affinity Data Value,ki,283360.81418808596,1094162286601.8119,60890.405283447864,0.159162,[0.062 ~ 0.253],-0.030116,final
56,Lasso,pKd pKi pIC50,ki,1.316514432943552,2.6203458154058623,1.130064363300316,0.691245,[0.637 ~ 0.739],0.443773,final
57,ElasticNet,delta G,ki,1287393538.5282254,4.723504804711841e+20,21695462702.637634,0.083708,[-0.014 ~ 0.18],-499129342442574.06,final
58,ElasticNet,Affinity Data Value,ki,1748009619293.5454,8.708279359197042e+26,29457976821979.883,-0.000403,[-0.098 ~ 0.097],-819854462350303.4,final
59,ElasticNet,pKd pKi pIC50,ki,232952702.5306783,1.546608388232432e+19,3925788700.361108,-0.079731,[-0.176 ~ 0.018],-3.283020506345535e+18,final
60,linearRegression,delta G,kd,12438115.431277733,4.367500636979367e+16,208615669.94164354,-0.0836,[-0.18 ~ 0.014],-46151063905.58213,final
61,linearRegression,Affinity Data Value,kd,6299342081480.529,1.1223699862178875e+28,105757357927705.88,-0.000461,[-0.098 ~ 0.097],-1.0566726257316936e+16,final
62,linearRegression,pKd pKi pIC50,kd,23722664.77876118,1.5758007818219674e+17,396254103.2314298,0.079559,[-0.018 ~ 0.176],-3.344987858593822e+16,final
63,Ridge,delta G,kd,4670.231060906832,22760846.728639826,8.606852098682399,-0.200987,[-0.293 ~ -0.105],-23.051222,final
64,Ridge,Affinity Data Value,kd,302088.4893193821,1096151472532.788,121545.0223846332,0.104516,[0.007 ~ 0.2],-0.031989,final
65,Ridge,pKd pKi pIC50,kd,1.720592916515384,15.24768764789558,3.489606640668821,0.134932,[0.038 ~ 0.23],-2.236661,final
66,Lasso,delta G,kd,4671.055562605297,22768512.19339379,3.1354754120544213,-0.556264,[-0.62 ~ -0.485],-23.059322,final
67,Lasso,Affinity Data Value,kd,283990.8506055213,1085643818877.2191,54390.65765692433,0.228015,[0.133 ~ 0.319],-0.022096,final
68,Lasso,pKd pKi pIC50,kd,1.5602513699801368,5.384282935015896,1.572345934522627,0.288356,[0.196 ~ 0.375],-0.142934,final
69,ElasticNet,delta G,kd,4670.94811969041,22767306.93584886,4.9485988776715475,-0.33,[-0.414 ~ -0.24],-23.058049,final
70,ElasticNet,Affinity Data Value,kd,285871.5921060233,1096083135251.3188,30996.130877876458,0.211151,[0.116 ~ 0.303],-0.031924,final
71,ElasticNet,pKd pKi pIC50,kd,1.5706300830790834,5.779604349367485,1.6695512466419153,0.261307,[0.168 ~ 0.35],-0.22685,final
72,linearRegression,delta G,all,4672.095322345757,22780544.39575747,5.0027794828295375,-0.585179,[-0.646 ~ -0.517],-23.072037,slim
73,linearRegression,Affinity Data Value,all,283274.9844852958,1084349480604.2855,41079.577267415414,0.320947,[0.231 ~ 0.406],-0.020878,slim
74,linearRegression,pKd pKi pIC50,all,1.4278063412955107,3.052924812640103,1.1354231891623605,0.614815,[0.55 ~ 0.672],0.351949,slim
75,Ridge,delta G,all,4672.234938884015,22781762.360836174,4.859374717919889,-0.593432,[-0.653 ~ -0.526],-23.073324,slim
76,Ridge,Affinity Data Value,all,283211.66278122226,1084262147398.0072,40729.66094390274,0.322815,[0.233 ~ 0.408],-0.020795,slim
77,Ridge,pKd pKi pIC50,all,1.4259365375005444,3.0462197858656297,1.1304343368264183,0.616074,[0.552 ~ 0.673],0.353372,slim
78,Lasso,delta G,all,4672.2756511252455,22782118.864221208,4.829015807358817,-0.594647,[-0.654 ~ -0.528],-23.073701,slim
79,Lasso,Affinity Data Value,all,282226.87987230706,1085027978249.3824,36178.00980812203,0.340471,[0.251 ~ 0.424],-0.021516,slim
80,Lasso,pKd pKi pIC50,all,1.4175494819230827,3.0163754054791228,1.1085532909183307,0.62183,[0.558 ~ 0.678],0.359707,slim
81,ElasticNet,delta G,all,4672.188125412016,22781355.006787714,4.90848553929252,-0.590595,[-0.651 ~ -0.523],-23.072893,slim
82,ElasticNet,Affinity Data Value,all,281913.21786630206,1097344404946.5402,19451.306711720394,0.338957,[0.25 ~ 0.423],-0.033112,slim
83,ElasticNet,pKd pKi pIC50,all,1.4205470606449424,3.0274587591255298,1.1164810440669086,0.619675,[0.556 ~ 0.676],0.357355,slim
84,linearRegression,delta G,ki,4673.817107512134,22797517.20345918,5.421227191576693,-0.623138,[-0.679 ~ -0.56],-23.089972,slim
85,linearRegression,Affinity Data Value,ki,282107.6805187703,1085433041380.4105,43363.79688012523,0.327683,[0.238 ~ 0.412],-0.021898,slim
86,linearRegression,pKd pKi pIC50,ki,1.3674567756694942,2.8162299303680025,1.2233591419718397,0.63869,[0.577 ~ 0.693],0.402193,slim
87,Ridge,delta G,ki,4674.014972676138,22799226.02814278,5.266770656338653,-0.627835,[-0.684 ~ -0.565],-23.091778,slim
88,Ridge,Affinity Data Value,ki,281772.87272307824,1085355734433.5934,42097.31277708295,0.333231,[0.244 ~ 0.417],-0.021825,slim
89,Ridge,pKd pKi pIC50,ki,1.3648756896639012,2.810942167554013,1.2140630904954333,0.640391,[0.579 ~ 0.695],0.403315,slim
90,Lasso,delta G,ki,4674.1069692248675,22800033.858309265,5.205237380893948,-0.630169,[-0.686 ~ -0.567],-23.092631,slim
91,Lasso,Affinity Data Value,ki,279009.941515665,1097233278761.4706,23047.623568087638,0.326641,[0.237 ~ 0.411],-0.033007,slim
92,Lasso,pKd pKi pIC50,ki,1.3541851516469476,2.794623545599448,1.1752847890562568,0.647576,[0.587 ~ 0.701],0.406779,slim
93,ElasticNet,delta G,ki,4674.107815561374,22800031.485742718,5.198904749034573,-0.629927,[-0.685 ~ -0.567],-23.092629,slim
94,ElasticNet,Affinity Data Value,ki,277621.3703253462,1100677402086.25,19201.420855002027,0.345592,[0.257 ~ 0.429],-0.03625,slim
95,ElasticNet,pKd pKi pIC50,ki,1.3587167661377655,2.8003815731694894,1.1909283510365738,0.644598,[0.584 ~ 0.698],0.405557,slim
96,linearRegression,delta G,kd,4670.963933857357,22768840.18077228,4.093531217260082,-0.573865,[-0.636 ~ -0.504],-23.059669,slim
97,linearRegression,Affinity Data Value,kd,286410.83098546724,1086920517326.6956,47335.79004821164,0.260715,[0.167 ~ 0.349],-0.023298,slim
98,linearRegression,pKd pKi pIC50,kd,1.4782957906341847,3.290049462431681,0.9217219894149383,0.621304,[0.557 ~ 0.678],0.301614,slim
99,Ridge,delta G,kd,4671.157781229209,22770506.734504703,3.866587862419217,-0.588594,[-0.649 ~ -0.521],-23.06143,slim
100,Ridge,Affinity Data Value,kd,286209.5622570303,1086352232905.5383,46350.85723313077,0.267054,[0.174 ~ 0.355],-0.022763,slim
101,Ridge,pKd pKi pIC50,kd,1.4763526851330562,3.282941866218001,0.9147814740814741,0.623235,[0.56 ~ 0.68],0.303123,slim
102,Lasso,delta G,kd,4671.125324290651,22770231.81136063,3.88747575636697,-0.589151,[-0.649 ~ -0.522],-23.06114,slim
103,Lasso,Affinity Data Value,kd,285299.89222400385,1084544941068.2178,42626.29851141396,0.294829,[0.203 ~ 0.381],-0.021062,slim
104,Lasso,pKd pKi pIC50,kd,1.4693581316656132,3.2594017966839313,0.890210182431678,0.63022,[0.568 ~ 0.686],0.308119,slim
105,ElasticNet,delta G,kd,4671.124993597161,22770226.412978504,3.8995510185478297,-0.58701,[-0.648 ~ -0.519],-23.061134,slim
106,ElasticNet,Affinity Data Value,kd,285653.714763658,1094805312126.0774,19923.181682352017,0.328338,[0.238 ~ 0.413],-0.030721,slim
107,ElasticNet,pKd pKi pIC50,kd,1.4675055388151215,3.253038421806996,0.8820045939554364,0.632239,[0.57 ~ 0.687],0.30947,slim
