,Modeltype,Scoretype,Datatype,Mean absolute error (mae),Mean squared error (mse),Standard Diviation (SD),Pearson correlation coefficient (r),90% Confidence interval,Coefficient of determination (r²),Spearman correlation coefficient,add. information,Classes,Set,Set size
27,Ridge,delta G,ki,10559765874.815403,3.9808268954536704e+22,199240462459.3846,-0.00772,[-0.095 ~ 0.08],-522573713902035.9,0.433503,GAP,1,test,357
28,Ridge,Affinity Data Value,ki,225174775300.48236,1.8100524612645979e+25,4248508526576.5503,-0.012028,[-0.099 ~ 0.075],-228336097595114.16,0.362123,GAP,1,test,357
29,Ridge,pKd pKi pIC50,ki,1922107.2585107826,1318912362037500.5,36265934.235207856,-0.013344,[-0.1 ~ 0.074],-487640781019480.9,0.521839,GAP,1,test,357
30,Lasso,delta G,ki,9994607284.466938,3.566145417691741e+22,188577734936.6079,-0.00772,[-0.095 ~ 0.08],-468137375520198.25,0.445621,GAP,1,test,357
31,Lasso,Affinity Data Value,ki,108661.02005175041,91159138267.0804,121159.80390946392,0.040924,[-0.046 ~ 0.128],-0.149962,0.415147,GAP,1,test,357
32,Lasso,pKd pKi pIC50,ki,1584214.8286873524,895974627697873.9,29890883.106858555,-0.013345,[-0.1 ~ 0.074],-331268232674133.2,0.539473,GAP,1,test,357
33,ElasticNet,delta G,ki,6908043569.268895,1.7036242160157555e+22,130340021570.3043,-0.00772,[-0.095 ~ 0.08],-223639273205658.12,0.418577,GAP,1,test,357
34,ElasticNet,Affinity Data Value,ki,118736774021.59825,5.033089985898389e+24,2240310645367.6997,-0.012028,[-0.099 ~ 0.075],-63491868375028.0,0.365576,GAP,1,test,357
35,ElasticNet,pKd pKi pIC50,ki,2047851.9268740413,1497148259689621.8,38638770.22998568,-0.013345,[-0.1 ~ 0.074],-553539846672728.1,0.532176,GAP,1,test,357
36,SVR,delta G,ki,7366.134146817302,84797223.82567286,67.04274159307144,0.445164,[0.372 ~ 0.512],-0.113156,0.44911,GAP,1,test,357
37,SVR,Affinity Data Value,ki,64334.98538759521,83380882277.91512,61.72354280457383,0.170756,[0.085 ~ 0.254],-0.051841,0.450905,GAP,1,test,357
38,SVR,pKd pKi pIC50,ki,1.0586928054369784,1.8260884417343877,1.1251078288036256,0.579718,[0.519 ~ 0.635],0.324841,0.579201,GAP,1,test,357
39,DecisionTree,delta G,ki,8835.847745665684,120568588.51507941,9926.905468073019,0.313212,[0.232 ~ 0.39],-0.582736,0.303979,GAP,1,test,357
40,DecisionTree,Affinity Data Value,ki,155350.32998879554,264796685681.5743,456237.12604969135,0.097896,[0.011 ~ 0.184],-2.340381,0.266361,GAP,1,test,357
41,DecisionTree,pKd pKi pIC50,ki,1.5340056022408963,3.7086582633053222,1.6843521120024278,0.335598,[0.256 ~ 0.411],-0.3712,0.32963,GAP,1,test,357
42,RandomForest,delta G,ki,6043.376365112738,58052141.733100936,5367.976568684275,0.500989,[0.433 ~ 0.564],0.237934,0.499825,GAP,1,test,357
43,RandomForest,Affinity Data Value,ki,102924.07313512858,82121200779.4439,105077.72408378075,0.13891,[0.052 ~ 0.223],-0.03595,0.375648,GAP,1,test,357
44,RandomForest,pKd pKi pIC50,ki,1.0348655462184875,1.7529125985994398,1.1204723420095604,0.599398,[0.54 ~ 0.652],0.351897,0.604197,GAP,1,test,357
45,XGBoost,delta G,ki,6989.545491880003,78719591.10469335,6958.91357421875,0.37806,[0.301 ~ 0.45],-0.033373,0.38212,GAP,1,test,357
46,XGBoost,Affinity Data Value,ki,124405.35942352423,91793326001.60785,136872.875,0.086342,[-0.001 ~ 0.172],-0.157963,0.237372,GAP,1,test,357
47,XGBoost,pKd pKi pIC50,ki,1.1346755228389878,2.046238855982564,1.269426941871643,0.546998,[0.483 ~ 0.605],0.243445,0.553458,GAP,1,test,357
48,linearRegression,delta G,kd,34340800015.305595,4.210055748623128e+23,647940035786.835,-0.00772,[-0.095 ~ 0.08],-5526651939588747.0,0.422466,GAP,1,test,357
49,linearRegression,Affinity Data Value,kd,271366691213.20987,2.628859636681058e+25,5120054793673.656,-0.012028,[-0.099 ~ 0.075],-331627708815515.44,0.343371,GAP,1,test,357
50,linearRegression,pKd pKi pIC50,kd,3820919.754882422,5211951020768346.0,72092661.3932812,-0.013344,[-0.1 ~ 0.074],-1927011937682100.5,0.515025,GAP,1,test,357
51,Ridge,delta G,kd,10559765875.012743,3.98082689560246e+22,199240462463.10803,-0.00772,[-0.095 ~ 0.08],-522573713921567.9,0.433503,GAP,1,test,357
52,Ridge,Affinity Data Value,kd,225174775300.70465,1.8100524612681715e+25,4248508526580.7446,-0.012028,[-0.099 ~ 0.075],-228336097595564.9,0.362123,GAP,1,test,357
53,Ridge,pKd pKi pIC50,kd,1922107.2585348713,1318912362070560.2,36265934.23566237,-0.013344,[-0.1 ~ 0.074],-487640781031704.0,0.521839,GAP,1,test,357
54,Lasso,delta G,kd,9994607284.465055,3.566145417690398e+22,188577734936.57242,-0.00772,[-0.095 ~ 0.08],-468137375520021.9,0.445621,GAP,1,test,357
55,Lasso,Affinity Data Value,kd,107599.61697965054,87831033368.545,106841.68654510906,0.047507,[-0.04 ~ 0.134],-0.107979,0.412918,GAP,1,test,357
56,Lasso,pKd pKi pIC50,kd,1417876.954247661,717702697307702.0,26752426.50476409,-0.013345,[-0.1 ~ 0.074],-265355844655404.25,0.539955,GAP,1,test,357
57,ElasticNet,delta G,kd,6908043569.268823,1.7036242160157184e+22,130340021570.30287,-0.00772,[-0.095 ~ 0.08],-223639273205653.28,0.418577,GAP,1,test,357
58,ElasticNet,Affinity Data Value,kd,118736774021.59663,5.03308998589826e+24,2240310645367.671,-0.012028,[-0.099 ~ 0.075],-63491868375026.375,0.365576,GAP,1,test,357
59,ElasticNet,pKd pKi pIC50,kd,2047851.9268740055,1497148259689569.0,38638770.22998499,-0.013345,[-0.1 ~ 0.074],-553539846672708.7,0.532176,GAP,1,test,357
60,SVR,delta G,kd,7366.134146817302,84797223.82567286,67.04274159307136,0.445164,[0.372 ~ 0.512],-0.113156,0.44911,GAP,1,test,357
61,SVR,Affinity Data Value,kd,64334.98538759521,83380882277.91513,61.72354280457397,0.170756,[0.085 ~ 0.254],-0.051841,0.450905,GAP,1,test,357
62,SVR,pKd pKi pIC50,kd,1.058692805436971,1.8260884417343615,1.1251078288036227,0.579718,[0.519 ~ 0.635],0.324841,0.579201,GAP,1,test,357
63,DecisionTree,delta G,kd,8888.989880557436,122771739.42447619,10017.832271897327,0.307908,[0.227 ~ 0.385],-0.611657,0.31056,GAP,1,test,357
64,DecisionTree,Affinity Data Value,kd,147423.1125330532,251491131872.53677,442454.6785032028,0.101162,[0.014 ~ 0.187],-2.172533,0.247936,GAP,1,test,357
65,DecisionTree,pKd pKi pIC50,kd,1.5359103641456582,3.6536941176470594,1.71420907492406,0.353835,[0.275 ~ 0.428],-0.350878,0.337509,GAP,1,test,357
66,RandomForest,delta G,kd,6050.072810711525,58689843.6554907,5296.757090905681,0.492576,[0.424 ~ 0.556],0.229563,0.494884,GAP,1,test,357
67,RandomForest,Affinity Data Value,kd,100161.83968614566,81551445282.90717,99606.67275923763,0.136331,[0.05 ~ 0.221],-0.028762,0.390801,GAP,1,test,357
68,RandomForest,pKd pKi pIC50,kd,1.0331610644257703,1.734284578907563,1.1192161615349405,0.6048,[0.546 ~ 0.657],0.358784,0.612159,GAP,1,test,357
69,XGBoost,delta G,kd,6989.5454918800015,78719591.10469335,6958.91357421875,0.37806,[0.301 ~ 0.45],-0.033373,0.38212,GAP,1,test,357
70,XGBoost,Affinity Data Value,kd,124405.35942352423,91793326001.60785,136872.890625,0.086342,[-0.001 ~ 0.172],-0.157963,0.237372,GAP,1,test,357
71,XGBoost,pKd pKi pIC50,kd,1.1346755228389878,2.046238855982564,1.269426941871643,0.546998,[0.483 ~ 0.605],0.243445,0.553458,GAP,1,test,357
72,linearRegression,delta G,all,726892.3763661404,1573087500008588.0,39657180.173681684,0.021321,[-0.005 ~ 0.048],-18996331.376393,0.451787,GAP,2,test,3806
73,linearRegression,Affinity Data Value,all,5190645.334997695,5.239020341101245e+16,228833828.37995443,0.002962,[-0.024 ~ 0.03],-1136962.564829,0.291318,GAP,2,test,3806
74,linearRegression,pKd pKi pIC50,all,153.6198897694586,48402132.65235542,6956.413165809263,0.025042,[-0.002 ~ 0.052],-17203138.183453,0.505729,GAP,2,test,3806
75,Ridge,delta G,all,51822.077394723514,3190690183495.19,1786488.574142944,0.036143,[0.009 ~ 0.063],-38529.222404,0.457644,GAP,2,test,3806
76,Ridge,Affinity Data Value,all,3893538.9634355344,4.889489453332275e+16,221090687.1800457,0.002297,[-0.024 ~ 0.029],-1061107.947305,0.289176,GAP,2,test,3806
77,Ridge,pKd pKi pIC50,all,17.04235853805337,648850.5565915137,805.4930041952595,0.037067,[0.01 ~ 0.064],-230614.17794,0.511141,GAP,2,test,3806
78,Lasso,delta G,all,13916.512163279565,31544924805.230034,177111.68337033663,-0.011712,[-0.038 ~ 0.015],-379.931052,0.469787,GAP,2,test,3806
79,Lasso,Affinity Data Value,all,58665.11973394253,45925773537.63021,33452.14572082936,0.092402,[0.066 ~ 0.119],0.003326,0.317406,GAP,2,test,3806
80,Lasso,pKd pKi pIC50,all,2.193876410180275,589.9846843585066,24.2446133124338,0.014536,[-0.012 ~ 0.041],-208.693005,0.519767,GAP,2,test,3806
81,ElasticNet,delta G,all,42922.76060977365,2246248798313.077,1497950.2919800621,-0.042771,[-0.069 ~ -0.016],-27124.311702,0.432105,GAP,2,test,3806
82,ElasticNet,Affinity Data Value,all,503350.5816277672,556733632149990.1,23591372.930609286,0.00244,[-0.024 ~ 0.029],-12081.141581,0.28317,GAP,2,test,3806
83,ElasticNet,pKd pKi pIC50,all,2.4155574791773544,880.3961219289888,29.619746032442677,0.00605,[-0.021 ~ 0.033],-311.911357,0.527165,GAP,2,test,3806
84,SVR,delta G,all,7552.603089662717,83574348.33171478,58.77962547519473,0.399077,[0.376 ~ 0.421],-0.009229,0.405129,GAP,2,test,3806
85,SVR,Affinity Data Value,all,28688.107906872177,46885174814.44651,54.33935436891701,0.132542,[0.106 ~ 0.159],-0.017494,0.40869,GAP,2,test,3806
86,SVR,pKd pKi pIC50,all,1.1227321253307627,2.030502291290839,1.128417053580428,0.544623,[0.526 ~ 0.563],0.278317,0.535123,GAP,2,test,3806
87,DecisionTree,delta G,all,8934.747128629402,129681745.98784213,10183.515597866679,0.31015,[0.286 ~ 0.334],-0.566014,0.310783,GAP,2,test,3806
88,DecisionTree,Affinity Data Value,all,52455.83963573042,62092856231.81194,136227.25135893768,0.043529,[0.017 ~ 0.07],-0.347529,0.299652,GAP,2,test,3806
89,DecisionTree,pKd pKi pIC50,all,1.5773594324750395,3.9881660798738836,1.8392732431094534,0.358009,[0.335 ~ 0.381],-0.417478,0.348558,GAP,2,test,3806
90,RandomForest,delta G,all,6135.478097276959,61084879.84710562,5723.533275667249,0.524451,[0.505 ~ 0.544],0.26235,0.52339,GAP,2,test,3806
91,RandomForest,Affinity Data Value,all,50928.273081910425,49292103548.707954,79831.75078735423,0.093631,[0.067 ~ 0.12],-0.069729,0.456284,GAP,2,test,3806
92,RandomForest,pKd pKi pIC50,all,1.0578052023121387,1.8159023725013137,1.112335114183353,0.601362,[0.584 ~ 0.618],0.35459,0.577099,GAP,2,test,3806
93,XGBoost,delta G,all,6806.822902750769,73934329.8264848,6930.29443359375,0.451375,[0.43 ~ 0.472],0.107182,0.454452,GAP,2,test,3806
94,XGBoost,Affinity Data Value,all,76350.13781188666,62532850022.19396,143667.609375,0.076208,[0.05 ~ 0.103],-0.357078,0.261856,GAP,2,test,3806
95,XGBoost,pKd pKi pIC50,all,1.1411808460609447,2.098429585864727,1.304222822189331,0.55222,[0.533 ~ 0.57],0.254174,0.532194,GAP,2,test,3806
96,linearRegression,delta G,ki,725577.8133114578,1546101972363788.8,39315740.36847292,0.021287,[-0.005 ~ 0.048],-18670458.815274,0.451811,GAP,2,test,3806
97,linearRegression,Affinity Data Value,ki,5247860.905135257,5.269599123143205e+16,229499229.50647536,0.003,[-0.024 ~ 0.03],-1143598.72174,0.290976,GAP,2,test,3806
98,linearRegression,pKd pKi pIC50,ki,147.15442315395583,46985520.05638223,6853.891598382635,0.024272,[-0.002 ~ 0.051],-16699644.177671,0.505848,GAP,2,test,3806
99,Ridge,delta G,ki,51822.077393882704,3190690183343.1743,1786488.5741003947,0.036143,[0.009 ~ 0.063],-38529.222402,0.457644,GAP,2,test,3806
100,Ridge,Affinity Data Value,ki,3893538.9634242617,4.889489453302339e+16,221090687.1793689,0.002297,[-0.024 ~ 0.029],-1061107.947299,0.289176,GAP,2,test,3806
101,Ridge,pKd pKi pIC50,ki,17.04235853830656,648850.5566157982,805.4930042103315,0.037067,[0.01 ~ 0.064],-230614.177949,0.511141,GAP,2,test,3806
102,Lasso,delta G,ki,13916.51216327946,31544924805.228355,177111.68337033194,-0.011712,[-0.038 ~ 0.015],-379.931052,0.469787,GAP,2,test,3806
103,Lasso,Affinity Data Value,ki,65070.191698220566,49686891213.146576,71080.10824114368,0.055524,[0.029 ~ 0.082],-0.078297,0.351295,GAP,2,test,3806
104,Lasso,pKd pKi pIC50,ki,2.193876410180283,589.984684358519,24.24461331243406,0.014536,[-0.012 ~ 0.041],-208.693005,0.519767,GAP,2,test,3806
105,ElasticNet,delta G,ki,42922.7606097734,2246248798313.0454,1497950.291980051,-0.042771,[-0.069 ~ -0.016],-27124.311702,0.432105,GAP,2,test,3806
106,ElasticNet,Affinity Data Value,ki,503350.58162777737,556733632150018.8,23591372.930609897,0.00244,[-0.024 ~ 0.029],-12081.141581,0.28317,GAP,2,test,3806
107,ElasticNet,pKd pKi pIC50,ki,2.4891695564309146,982.09731728878,31.285720409846192,0.004622,[-0.022 ~ 0.031],-348.058108,0.526372,GAP,2,test,3806
108,SVR,delta G,ki,7552.603089662716,83574348.33171478,58.77962547519468,0.399077,[0.376 ~ 0.421],-0.009229,0.405129,GAP,2,test,3806
109,SVR,Affinity Data Value,ki,28688.107906872177,46885174814.44652,54.33935436891696,0.132542,[0.106 ~ 0.159],-0.017494,0.40869,GAP,2,test,3806
110,SVR,pKd pKi pIC50,ki,1.122732125330764,2.030502291290839,1.1284170535804317,0.544623,[0.526 ~ 0.563],0.278317,0.535123,GAP,2,test,3806
111,DecisionTree,delta G,ki,8929.37720059203,130373446.98651202,10180.330448880144,0.303864,[0.279 ~ 0.328],-0.574367,0.308105,GAP,2,test,3806
112,DecisionTree,Affinity Data Value,ki,50897.03249357068,61061654217.87794,132251.60318656336,0.04417,[0.018 ~ 0.071],-0.32515,0.305533,GAP,2,test,3806
113,DecisionTree,pKd pKi pIC50,ki,1.5637099316868104,3.918945296899632,1.8257827641056672,0.364053,[0.341 ~ 0.387],-0.392876,0.35372,GAP,2,test,3806
114,RandomForest,delta G,ki,6177.23563389687,61725369.86465445,5715.416829280198,0.518309,[0.499 ~ 0.538],0.254615,0.517197,GAP,2,test,3806
115,RandomForest,Affinity Data Value,ki,51041.59699095281,48900602954.53554,79312.47302983132,0.103351,[0.077 ~ 0.13],-0.061233,0.449549,GAP,2,test,3806
116,RandomForest,pKd pKi pIC50,ki,1.063677929584866,1.8284307928060957,1.097600122359322,0.59638,[0.579 ~ 0.613],0.350137,0.571308,GAP,2,test,3806
117,XGBoost,delta G,ki,6806.822902750768,73934329.82648481,6930.29443359375,0.451375,[0.43 ~ 0.472],0.107182,0.454452,GAP,2,test,3806
118,XGBoost,Affinity Data Value,ki,76350.13781188667,62532850022.19397,143667.609375,0.076208,[0.05 ~ 0.103],-0.357078,0.261856,GAP,2,test,3806
119,XGBoost,pKd pKi pIC50,ki,1.1411808460609447,2.098429585864727,1.304222822189331,0.55222,[0.533 ~ 0.57],0.254174,0.532194,GAP,2,test,3806
120,linearRegression,delta G,kd,730423.1153081502,1579889692353183.0,39742932.78371298,0.021268,[-0.005 ~ 0.048],-19078473.473807,0.45178,GAP,2,test,3806
121,linearRegression,Affinity Data Value,kd,5240627.949074697,5.249056400837128e+16,229052012.3624344,0.002985,[-0.024 ~ 0.03],-1139140.573982,0.289826,GAP,2,test,3806
122,linearRegression,pKd pKi pIC50,kd,148.26009244772683,48076723.54020411,6933.054644099598,0.023923,[-0.003 ~ 0.051],-17087480.919173,0.506342,GAP,2,test,3806
123,Ridge,delta G,kd,51822.07739260152,3190690183041.026,1786488.5740158258,0.036143,[0.009 ~ 0.063],-38529.222398,0.457644,GAP,2,test,3806
124,Ridge,Affinity Data Value,kd,3893538.963429313,4.889489453316394e+16,221090687.17968664,0.002297,[-0.024 ~ 0.029],-1061107.947302,0.289176,GAP,2,test,3806
125,Ridge,pKd pKi pIC50,kd,17.042358538124958,648850.5565974257,805.4930041989289,0.037067,[0.01 ~ 0.064],-230614.177942,0.511141,GAP,2,test,3806
126,Lasso,delta G,kd,13916.51216327929,31544924805.227444,177111.68337032935,-0.011712,[-0.038 ~ 0.015],-379.931052,0.469787,GAP,2,test,3806
127,Lasso,Affinity Data Value,kd,64542.277255104986,48753302092.14991,64166.46698535584,0.060776,[0.034 ~ 0.087],-0.058036,0.347558,GAP,2,test,3806
128,Lasso,pKd pKi pIC50,kd,2.0888516650110858,479.9268207855938,21.86348825011871,0.018123,[-0.009 ~ 0.045],-169.576118,0.520218,GAP,2,test,3806
129,ElasticNet,delta G,kd,42922.760609773635,2246248798313.0767,1497950.2919800617,-0.042771,[-0.069 ~ -0.016],-27124.311702,0.432105,GAP,2,test,3806
130,ElasticNet,Affinity Data Value,kd,503350.58162777184,556733632150004.56,23591372.930609595,0.00244,[-0.024 ~ 0.029],-12081.141581,0.28317,GAP,2,test,3806
131,ElasticNet,pKd pKi pIC50,kd,2.4891695564309178,982.0973172887735,31.285720409846096,0.004622,[-0.022 ~ 0.031],-348.058108,0.526372,GAP,2,test,3806
132,SVR,delta G,kd,7552.603089662716,83574348.33171478,58.779625475194614,0.399077,[0.376 ~ 0.421],-0.009229,0.405129,GAP,2,test,3806
133,SVR,Affinity Data Value,kd,28688.107906872177,46885174814.44652,54.33935436891705,0.132542,[0.106 ~ 0.159],-0.017494,0.40869,GAP,2,test,3806
134,SVR,pKd pKi pIC50,kd,1.122732125330764,2.0305022912908393,1.128417053580425,0.544623,[0.526 ~ 0.563],0.278317,0.535123,GAP,2,test,3806
135,DecisionTree,delta G,kd,8924.365219013625,129557020.80674922,10137.233625668692,0.304697,[0.28 ~ 0.329],-0.564508,0.307712,GAP,2,test,3806
136,DecisionTree,Affinity Data Value,kd,53875.43634278244,69655832129.55214,163081.03604720646,0.043324,[0.017 ~ 0.07],-0.511659,0.327803,GAP,2,test,3806
137,DecisionTree,pKd pKi pIC50,kd,1.5687388334209142,3.951389490278508,1.8172452051325005,0.355056,[0.332 ~ 0.378],-0.404407,0.345858,GAP,2,test,3806
138,RandomForest,delta G,kd,6180.832169303916,61848606.61851547,5730.11537215722,0.517614,[0.498 ~ 0.537],0.253127,0.51602,GAP,2,test,3806
139,RandomForest,Affinity Data Value,kd,51356.468538938076,49573065511.43136,81950.5897094838,0.093095,[0.067 ~ 0.119],-0.075827,0.456185,GAP,2,test,3806
140,RandomForest,pKd pKi pIC50,kd,1.0653554650551762,1.8428719553258013,1.1133745658580254,0.593224,[0.576 ~ 0.61],0.345004,0.568383,GAP,2,test,3806
141,XGBoost,delta G,kd,6806.822902750769,73934329.82648478,6930.29443359375,0.451375,[0.43 ~ 0.472],0.107182,0.454452,GAP,2,test,3806
142,XGBoost,Affinity Data Value,kd,76350.13781188667,62532850022.19397,143667.609375,0.076208,[0.05 ~ 0.103],-0.357078,0.261856,GAP,2,test,3806
143,XGBoost,pKd pKi pIC50,kd,1.1411808460609447,2.098429585864727,1.3042227029800415,0.55222,[0.533 ~ 0.57],0.254174,0.532194,GAP,2,test,3806
144,linearRegression,delta G,all,11754.287836166463,153173793.6721365,5202.918391922533,-0.712868,[-0.926 ~ -0.156],-178.828555,-0.47619,slim,2,val,8
145,linearRegression,Affinity Data Value,all,563738.020710455,1944316096928.4788,52863.13150609223,0.202001,[-0.486 ~ 0.735],-0.134771,0.47619,slim,2,val,8
146,linearRegression,pKd pKi pIC50,all,1.3504863331377241,2.844011448191434,1.0752941251960066,0.860458,[0.508 ~ 0.966],0.140817,0.595238,slim,2,val,8
147,Ridge,delta G,all,11756.544661082648,153215156.06692484,5205.652984891281,-0.712945,[-0.926 ~ -0.156],-178.877115,-0.47619,slim,2,val,8
148,Ridge,Affinity Data Value,all,563715.5814613176,1944818404588.7798,52714.75616953798,0.204941,[-0.484 ~ 0.737],-0.135064,0.47619,slim,2,val,8
149,Ridge,pKd pKi pIC50,all,1.350212312314154,2.843908263573689,1.0758263943192767,0.860412,[0.507 ~ 0.966],0.140848,0.595238,slim,2,val,8
150,Lasso,delta G,all,11661.339819938807,151394756.32473344,5105.009032695434,-0.712192,[-0.926 ~ -0.155],-176.739936,-0.47619,slim,2,val,8
151,Lasso,Affinity Data Value,all,560583.2465815749,1954040835055.7144,45176.339591603086,0.214648,[-0.476 ~ 0.741],-0.140447,0.619048,slim,2,val,8
152,Lasso,pKd pKi pIC50,all,1.3692747651120936,2.886096723388748,1.0585758144541202,0.859135,[0.504 ~ 0.966],0.128103,0.595238,slim,2,val,8
153,ElasticNet,delta G,all,10632.571823555421,130614339.61394258,4211.40869664606,-0.766371,[-0.941 ~ -0.269],-152.343385,-0.619048,slim,2,val,8
154,ElasticNet,Affinity Data Value,all,548972.4074141927,1958224892474.2278,19676.891469177117,0.361205,[-0.343 ~ 0.805],-0.142889,0.547619,slim,2,val,8
155,ElasticNet,pKd pKi pIC50,all,1.3558091981371765,2.8566730237432303,1.0710379516311106,0.86001,[0.506 ~ 0.966],0.136992,0.595238,slim,2,val,8
156,SVR,delta G,all,10745.007783232459,116464332.44933267,103.31483011213766,-0.769207,[-0.942 ~ -0.275],-135.731043,-0.809524,slim,2,val,8
157,SVR,Affinity Data Value,all,555665.6869201474,2021968686178.6228,82.63866989888989,0.592217,[-0.054 ~ 0.889],-0.180092,0.761905,slim,2,val,8
158,SVR,pKd pKi pIC50,all,1.860519350841788,4.824620860635971,0.7955584315166159,0.499069,[-0.185 ~ 0.857],-0.45753,0.428571,slim,2,val,8
159,DecisionTree,delta G,all,13614.547120705705,214443940.99665636,12995.578973558147,0.261176,[-0.437 ~ 0.763],-250.760717,0.071858,slim,2,val,8
160,DecisionTree,Affinity Data Value,all,554457.325,2017416367672.845,3633.9338488062763,0.269603,[-0.429 ~ 0.767],-0.177435,0.357143,slim,2,val,8
161,DecisionTree,pKd pKi pIC50,all,1.9324999999999999,5.392724999999999,1.6125169572751785,0.724693,[0.18 ~ 0.929],-0.629155,0.571429,slim,2,val,8
162,RandomForest,delta G,all,10377.225630929532,141299722.98739794,5274.100335986616,-0.507955,[-0.861 ~ 0.174],-164.888201,-0.47619,slim,2,val,8
