,Modeltype,Scoretype,Datatype,Mean squared error (mse),Standard Diviation (SD),Pearson correlation coefficient (r),90% Confidence interval,Coefficient of determination (r²),add. information
89,Ridge,delta G,all,22784276.201949146,3.7962078751583124,-0.478824,[-0.551 ~ -0.4],-23.07598,slim size10 f regression
90,Lasso,delta G,all,22784383.728681277,3.7898400290188143,-0.47871,[-0.551 ~ -0.4],-23.076094,slim size10 f regression
91,ElasticNet,delta G,all,22784152.838711843,3.8026638594262567,-0.478809,[-0.551 ~ -0.4],-23.07585,slim size10 f regression
92,SVR,delta G,all,22787017.171489414,4.219777667874313,-0.546436,[-0.611 ~ -0.474],-23.078877,slim size10 f regression
93,DecisionTree,delta G,all,22795705.98585506,10.75621818080157,-0.332476,[-0.417 ~ -0.243],-23.088058,slim size10 f regression
94,RandomForest,delta G,all,22791464.876802202,5.382181757676793,-0.499629,[-0.569 ~ -0.423],-23.083576,slim size10 f regression
95,XGBoost,delta G,all,22787859.836013574,7.962118148803711,-0.439723,[-0.515 ~ -0.357],-23.079767,slim size10 f regression
96,linearRegression,delta G,all,22781321.78999358,2.2789033787692934,0.056313,[-0.042 ~ 0.153],-23.072858,final size10 r regression
97,Ridge,delta G,all,22781142.00576275,2.0342519740390594,0.051914,[-0.046 ~ 0.149],-23.072668,final size10 r regression
98,Lasso,delta G,all,22780869.747362074,1.058650510371533,0.011056,[-0.087 ~ 0.109],-23.072381,final size10 r regression
99,ElasticNet,delta G,all,22780868.9883502,1.039119765501611,0.01099,[-0.087 ~ 0.109],-23.07238,final size10 r regression
100,SVR,delta G,all,22782517.088917915,0.8896616652804579,-0.025861,[-0.123 ~ 0.072],-23.074121,final size10 r regression
101,DecisionTree,delta G,all,22788201.915056113,11.31948977890724,0.033391,[-0.064 ~ 0.131],-23.080128,final size10 r regression
102,RandomForest,delta G,all,22782940.789322194,6.49794791015518,0.064662,[-0.033 ~ 0.161],-23.074569,final size10 r regression
103,XGBoost,delta G,all,22781836.383379947,6.609384059906006,-0.024392,[-0.122 ~ 0.073],-23.073402,final size10 r regression
104,linearRegression,delta G,all,22778666.370506432,2.3142617144554425,0.023498,[-0.074 ~ 0.121],-23.070052,GAP size10 r regression
105,Ridge,delta G,all,22778486.060332347,2.0827657116286624,0.015411,[-0.082 ~ 0.113],-23.069862,GAP size10 r regression
106,Lasso,delta G,all,22779862.151340786,0.8638775274031502,-0.083812,[-0.18 ~ 0.014],-23.071316,GAP size10 r regression
107,ElasticNet,delta G,all,22778316.92142984,1.1981873463866448,-0.046356,[-0.143 ~ 0.052],-23.069683,GAP size10 r regression
108,SVR,delta G,all,22781682.52380816,1.6385126481623344,-0.213322,[-0.305 ~ -0.118],-23.073239,GAP size10 r regression
109,DecisionTree,delta G,all,22786162.494469766,10.610296042509004,-0.150729,[-0.245 ~ -0.054],-23.077973,GAP size10 r regression
110,RandomForest,delta G,all,22778570.88269695,5.011690397154834,-0.172155,[-0.265 ~ -0.076],-23.069951,GAP size10 r regression
111,XGBoost,delta G,all,22783578.116989616,6.506120681762695,-0.050334,[-0.147 ~ 0.048],-23.075243,GAP size10 r regression
112,linearRegression,delta G,all,22780811.04107935,3.747185313520009,-0.367839,[-0.449 ~ -0.28],-23.072319,slim size10 r regression
113,Ridge,delta G,all,22780853.466086186,3.719136047647426,-0.369008,[-0.45 ~ -0.282],-23.072363,slim size10 r regression
114,Lasso,delta G,all,22780892.25571702,3.730954605918653,-0.368719,[-0.45 ~ -0.281],-23.072404,slim size10 r regression
115,ElasticNet,delta G,all,22780877.021564987,3.720979745812217,-0.369025,[-0.45 ~ -0.282],-23.072388,slim size10 r regression
116,SVR,delta G,all,22780342.41181144,3.498625432684011,-0.468805,[-0.542 ~ -0.389],-23.071823,slim size10 r regression
117,DecisionTree,delta G,all,22797090.55279385,9.932164367529289,-0.198083,[-0.29 ~ -0.102],-23.089521,slim size10 r regression
118,RandomForest,delta G,all,22780185.275451235,4.171389436041492,-0.484862,[-0.556 ~ -0.406],-23.071657,slim size10 r regression
119,XGBoost,delta G,all,22774656.95556878,6.62702751159668,-0.318143,[-0.403 ~ -0.228],-23.065816,slim size10 r regression
120,linearRegression,delta G,all,22793942.511567842,3.620759344187439,-0.438447,[-0.514 ~ -0.356],-23.086194,final size10 mutual info regression
121,Ridge,delta G,all,22793989.5913246,3.6116458791503634,-0.438112,[-0.514 ~ -0.356],-23.086244,final size10 mutual info regression
122,Lasso,delta G,all,22794256.918645658,3.604426447527196,-0.43703,[-0.513 ~ -0.355],-23.086527,final size10 mutual info regression
123,ElasticNet,delta G,all,22793982.942989826,3.615968389166199,-0.43823,[-0.514 ~ -0.356],-23.086237,final size10 mutual info regression
124,SVR,delta G,all,22791414.31516203,3.74893631213115,-0.47333,[-0.546 ~ -0.394],-23.083523,final size10 mutual info regression
125,DecisionTree,delta G,all,22782290.409727227,9.741976609751484,-0.119735,[-0.215 ~ -0.022],-23.073882,final size10 mutual info regression
126,RandomForest,delta G,all,22790709.769077834,4.766973918792873,-0.399053,[-0.478 ~ -0.314],-23.082778,final size10 mutual info regression
127,XGBoost,delta G,all,22785498.14468783,6.958438873291016,-0.300474,[-0.387 ~ -0.209],-23.077271,final size10 mutual info regression
128,linearRegression,delta G,all,22784253.30135257,3.9741332633611974,-0.603613,[-0.662 ~ -0.538],-23.075956,GAP size10 mutual info regression
129,Ridge,delta G,all,22784412.883130457,3.96640871206742,-0.603188,[-0.662 ~ -0.537],-23.076125,GAP size10 mutual info regression
130,Lasso,delta G,all,22785349.10015901,3.939682206622003,-0.601746,[-0.661 ~ -0.536],-23.077114,GAP size10 mutual info regression
131,ElasticNet,delta G,all,22784555.131699096,3.960941590363567,-0.602977,[-0.662 ~ -0.537],-23.076275,GAP size10 mutual info regression
132,SVR,delta G,all,22780042.74520259,4.328174255045988,-0.621264,[-0.678 ~ -0.557],-23.071507,GAP size10 mutual info regression
133,DecisionTree,delta G,all,22779526.536176376,9.89278782399881,-0.422679,[-0.5 ~ -0.339],-23.070961,GAP size10 mutual info regression
134,RandomForest,delta G,all,22782331.531752944,5.521922697185198,-0.574549,[-0.636 ~ -0.505],-23.073925,GAP size10 mutual info regression
135,XGBoost,delta G,all,22781220.234407537,7.056188106536865,-0.48946,[-0.56 ~ -0.411],-23.072751,GAP size10 mutual info regression
136,linearRegression,delta G,all,22785087.535442222,3.670631436981704,-0.603647,[-0.662 ~ -0.538],-23.076837,slim size10 mutual info regression
137,Ridge,delta G,all,22785324.214136705,3.654079499680773,-0.605508,[-0.664 ~ -0.54],-23.077088,slim size10 mutual info regression
138,Lasso,delta G,all,22785371.127210137,3.6569946184902857,-0.605487,[-0.664 ~ -0.54],-23.077137,slim size10 mutual info regression
139,ElasticNet,delta G,all,22785262.512138333,3.6596191374478906,-0.604957,[-0.663 ~ -0.539],-23.077022,slim size10 mutual info regression
140,SVR,delta G,all,22787944.510814887,4.125683514868251,-0.685882,[-0.734 ~ -0.63],-23.079856,slim size10 mutual info regression
141,DecisionTree,delta G,all,22786727.503543355,9.730346315864212,-0.295012,[-0.382 ~ -0.203],-23.07857,slim size10 mutual info regression
142,RandomForest,delta G,all,22784168.257457696,5.1209240645749725,-0.65567,[-0.708 ~ -0.596],-23.075866,slim size10 mutual info regression
143,XGBoost,delta G,all,22783284.676473137,6.756852626800537,-0.517215,[-0.585 ~ -0.442],-23.074932,slim size10 mutual info regression
144,linearRegression,delta G,all,22793351.088123877,4.6063618630729675,-0.265701,[-0.354 ~ -0.173],-23.08557,final size15 f regression
145,Ridge,delta G,all,22793127.987392075,4.420414930099121,-0.2822,[-0.37 ~ -0.19],-23.085334,final size15 f regression
146,Lasso,delta G,all,22792782.49128281,3.904344327776598,-0.349992,[-0.433 ~ -0.261],-23.084969,final size15 f regression
147,ElasticNet,delta G,all,22792758.82633533,3.848248592992704,-0.347895,[-0.431 ~ -0.259],-23.084944,final size15 f regression
148,SVR,delta G,all,22789774.061929483,3.8456343044166705,-0.398319,[-0.477 ~ -0.313],-23.08179,final size15 f regression
149,DecisionTree,delta G,all,22781133.993308708,10.776704885448828,-0.159107,[-0.253 ~ -0.062],-23.07266,final size15 f regression
150,RandomForest,delta G,all,22793369.66375834,6.038313869935487,-0.308458,[-0.394 ~ -0.217],-23.085589,final size15 f regression
151,XGBoost,delta G,all,22792024.60090697,7.453017711639404,-0.263539,[-0.352 ~ -0.17],-23.084168,final size15 f regression
152,linearRegression,delta G,all,22793111.746055327,4.645525740894625,-0.268874,[-0.357 ~ -0.176],-23.085317,GAP size15 f regression
153,Ridge,delta G,all,22792883.922816426,4.459940424857973,-0.285877,[-0.373 ~ -0.194],-23.085076,GAP size15 f regression
154,Lasso,delta G,all,22792776.51810795,4.277195889191282,-0.306453,[-0.392 ~ -0.215],-23.084962,GAP size15 f regression
155,ElasticNet,delta G,all,22792419.722608358,3.8950551566186884,-0.353738,[-0.436 ~ -0.265],-23.084585,GAP size15 f regression
156,SVR,delta G,all,22788905.75140972,4.140106453999118,-0.417719,[-0.495 ~ -0.334],-23.080872,GAP size15 f regression
157,DecisionTree,delta G,all,22794842.883984648,11.904054008080504,-0.235529,[-0.326 ~ -0.141],-23.087146,GAP size15 f regression
158,RandomForest,delta G,all,22791063.345843907,5.720524445045388,-0.356903,[-0.439 ~ -0.269],-23.083152,GAP size15 f regression
159,XGBoost,delta G,all,22794156.32066772,7.279202938079834,-0.271061,[-0.359 ~ -0.178],-23.08642,GAP size15 f regression
160,linearRegression,delta G,all,22779237.111975707,4.574426962561155,-0.50179,[-0.571 ~ -0.425],-23.070655,slim size15 f regression
161,Ridge,delta G,all,22779421.656066407,4.552162701605604,-0.503042,[-0.573 ~ -0.426],-23.07085,slim size15 f regression
162,Lasso,delta G,all,22780450.538485926,4.444056061888411,-0.509445,[-0.578 ~ -0.433],-23.071938,slim size15 f regression
163,ElasticNet,delta G,all,22779861.695798732,4.500723482011793,-0.505933,[-0.575 ~ -0.43],-23.071315,slim size15 f regression
164,SVR,delta G,all,22787582.0209643,4.115654167559188,-0.597065,[-0.656 ~ -0.53],-23.079473,slim size15 f regression
165,DecisionTree,delta G,all,22792079.512812197,10.980323032373262,-0.387077,[-0.467 ~ -0.301],-23.084226,slim size15 f regression
166,RandomForest,delta G,all,22791725.113709826,5.200663425623364,-0.571917,[-0.634 ~ -0.502],-23.083851,slim size15 f regression
167,XGBoost,delta G,all,22783663.20955442,7.0425333976745605,-0.458916,[-0.533 ~ -0.378],-23.075332,slim size15 f regression
168,linearRegression,delta G,all,22780715.078305885,2.622356455322057,0.025763,[-0.072 ~ 0.123],-23.072217,final size15 r regression
169,Ridge,delta G,all,22780543.75745232,2.330831731352304,0.016968,[-0.081 ~ 0.114],-23.072036,final size15 r regression
170,Lasso,delta G,all,22780505.334789403,1.2399819378741477,-0.0622,[-0.159 ~ 0.036],-23.071996,final size15 r regression
171,ElasticNet,delta G,all,22780515.010846682,2.2121829134795474,0.012669,[-0.085 ~ 0.11],-23.072006,final size15 r regression
172,SVR,delta G,all,22783719.041589208,1.3419517359654844,-0.145431,[-0.24 ~ -0.048],-23.075391,final size15 r regression
173,DecisionTree,delta G,all,22782771.589018993,11.382748549803296,0.036128,[-0.062 ~ 0.133],-23.07439,final size15 r regression
174,RandomForest,delta G,all,22780680.943042293,5.53337578673705,-0.076104,[-0.172 ~ 0.022],-23.072181,final size15 r regression
175,XGBoost,delta G,all,22781650.20936626,6.115006923675537,-0.043793,[-0.141 ~ 0.054],-23.073205,final size15 r regression
176,linearRegression,delta G,all,22779370.088142376,3.0381809960704915,-0.118481,[-0.214 ~ -0.021],-23.070796,GAP size15 r regression
177,Ridge,delta G,all,22779212.192496546,2.8329175382270484,-0.135653,[-0.23 ~ -0.039],-23.070629,GAP size15 r regression
178,Lasso,delta G,all,22779178.8921813,2.1046604005991205,-0.23317,[-0.323 ~ -0.139],-23.070594,GAP size15 r regression
179,ElasticNet,delta G,all,22779140.45436392,2.007804486033666,-0.235352,[-0.326 ~ -0.141],-23.070553,GAP size15 r regression
180,SVR,delta G,all,22779780.846021958,2.6077123175199315,-0.331694,[-0.416 ~ -0.242],-23.07123,GAP size15 r regression
181,DecisionTree,delta G,all,22779175.363019735,10.365224568622684,-0.1129,[-0.208 ~ -0.015],-23.07059,GAP size15 r regression
182,RandomForest,delta G,all,22779471.8941343,4.838072418791038,-0.259385,[-0.348 ~ -0.166],-23.070903,GAP size15 r regression
183,XGBoost,delta G,all,22782475.850261405,6.7504754066467285,-0.183764,[-0.276 ~ -0.088],-23.074078,GAP size15 r regression
184,linearRegression,delta G,all,22783846.225935303,4.011596478553648,-0.503342,[-0.573 ~ -0.427],-23.075526,slim size15 r regression
185,Ridge,delta G,all,22783884.213813335,3.983046703862832,-0.504135,[-0.574 ~ -0.428],-23.075566,slim size15 r regression
186,Lasso,delta G,all,22784110.21397073,3.950784621793274,-0.506843,[-0.576 ~ -0.431],-23.075805,slim size15 r regression
187,ElasticNet,delta G,all,22783960.946329888,3.959288549242677,-0.50524,[-0.575 ~ -0.429],-23.075647,slim size15 r regression
188,SVR,delta G,all,22781046.036734127,3.934947969961759,-0.565353,[-0.628 ~ -0.495],-23.072567,slim size15 r regression
189,DecisionTree,delta G,all,22781164.702605277,9.86233274689935,-0.34221,[-0.426 ~ -0.253],-23.072692,slim size15 r regression
190,RandomForest,delta G,all,22780245.918343443,4.638705047449611,-0.663091,[-0.714 ~ -0.605],-23.071721,slim size15 r regression
191,XGBoost,delta G,all,22778090.691543046,6.8637189865112305,-0.470432,[-0.543 ~ -0.391],-23.069444,slim size15 r regression
192,linearRegression,delta G,all,22794850.302423477,4.227527805563539,-0.364906,[-0.447 ~ -0.277],-23.087154,final size15 mutual info regression
193,Ridge,delta G,all,22794878.045735803,4.219974493510614,-0.364365,[-0.446 ~ -0.277],-23.087183,final size15 mutual info regression
194,Lasso,delta G,all,22794945.90879405,4.180865208196754,-0.368688,[-0.45 ~ -0.281],-23.087255,final size15 mutual info regression
195,ElasticNet,delta G,all,22794869.08809777,4.221229208321986,-0.364904,[-0.447 ~ -0.277],-23.087174,final size15 mutual info regression
196,SVR,delta G,all,22791825.75453525,3.9498061571186454,-0.398295,[-0.477 ~ -0.313],-23.083958,final size15 mutual info regression
197,DecisionTree,delta G,all,22791085.096716844,10.298419367699447,-0.121187,[-0.216 ~ -0.024],-23.083175,final size15 mutual info regression
198,RandomForest,delta G,all,22792618.751825053,4.875608876574011,-0.428989,[-0.505 ~ -0.346],-23.084796,final size15 mutual info regression
199,XGBoost,delta G,all,22791375.374070864,6.840444564819336,-0.352466,[-0.435 ~ -0.264],-23.083482,final size15 mutual info regression
200,linearRegression,delta G,all,22783183.904157218,4.083532565337644,-0.594389,[-0.654 ~ -0.527],-23.074826,GAP size15 mutual info regression
201,Ridge,delta G,all,22783388.935427267,4.070047067935585,-0.595026,[-0.655 ~ -0.528],-23.075043,GAP size15 mutual info regression
202,Lasso,delta G,all,22783585.94023203,4.056849646617464,-0.597101,[-0.656 ~ -0.53],-23.075251,GAP size15 mutual info regression
203,ElasticNet,delta G,all,22784237.48721486,4.0166560253897705,-0.598196,[-0.657 ~ -0.532],-23.075939,GAP size15 mutual info regression
204,SVR,delta G,all,22785301.178767342,4.4753716737523215,-0.601019,[-0.66 ~ -0.535],-23.077063,GAP size15 mutual info regression
205,DecisionTree,delta G,all,22787261.995438833,10.679234651444984,-0.358261,[-0.44 ~ -0.27],-23.079135,GAP size15 mutual info regression
206,RandomForest,delta G,all,22782947.981239893,5.299654939004099,-0.590198,[-0.65 ~ -0.523],-23.074577,GAP size15 mutual info regression
207,XGBoost,delta G,all,22779628.80139214,6.727444171905518,-0.489112,[-0.56 ~ -0.411],-23.071069,GAP size15 mutual info regression
208,linearRegression,delta G,all,22785703.77741069,4.0091361414653734,-0.562734,[-0.626 ~ -0.492],-23.077489,slim size15 mutual info regression
209,Ridge,delta G,all,22785718.55107074,4.006344874631741,-0.563113,[-0.626 ~ -0.493],-23.077504,slim size15 mutual info regression
