,Modeltype,Scoretype,Datatype,Mean squared error (mse),Standard Diviation (SD),Pearson correlation coefficient (r),90% Confidence interval,Coefficient of determination (r²),add. information,Time
77,Ridge,pKd pKi pIC50,all,2.9886423249836622,1.0525523992042312,0.6242289999999999,[0.561 ~ 0.68],0.3655939999999999,GAP,0.002039647102355957
78,Lasso,delta G,all,22786725.2459672,4.514348434922452,-0.609864,[-0.668 ~ -0.545],-23.078567999999997,GAP,0.002018237113952637
79,Lasso,Affinity Data Value,all,1077830601294.0535,57380.125658455785,0.26708400000000004,[0.174 ~ 0.355],-0.01474,GAP,0.002118492126464844
80,Lasso,pKd pKi pIC50,all,2.905869528791346,0.9602368575416043,0.6549820000000001,[0.595 ~ 0.707],0.383165,GAP,0.0020970821380615233
81,ElasticNet,delta G,all,22787019.32957537,4.453364678536068,-0.598757,[-0.658 ~ -0.532],-23.078879,GAP,0.0022245168685913084
82,ElasticNet,Affinity Data Value,all,1093432771016.6765,27804.74589736446,0.29454700000000006,[0.203 ~ 0.381],-0.029429,GAP,0.002092266082763672
83,ElasticNet,pKd pKi pIC50,all,2.9381327363754575,0.9499950785279829,0.6494099999999999,[0.589 ~ 0.703],0.37631600000000004,GAP,0.0024169921875
84,SVR,delta G,all,22788900.402870543,4.304725481166449,-0.582045,[-0.643 ~ -0.514],-23.080867000000005,GAP,0.19937303066253662
85,SVR,Affinity Data Value,all,1131669787270.7112,49.13861468243508,0.29873800000000006,[0.207 ~ 0.385],-0.06542800000000001,GAP,0.20265352725982666
86,SVR,pKd pKi pIC50,all,2.9394533378081786,1.0623878930069812,0.6292480000000001,[0.566 ~ 0.685],0.376036,GAP,0.18931295871734619
87,DecisionTree,delta G,all,22785120.773364697,9.854441908506374,-0.3694950000000001,[-0.451 ~ -0.282],-23.076873000000003,GAP,0.0024843692779541017
88,DecisionTree,Affinity Data Value,all,1064391130309.1921,169175.50450688266,0.20386900000000002,[0.108 ~ 0.296],-0.002088,GAP,0.0024471521377563477
89,DecisionTree,pKd pKi pIC50,all,3.536614736842105,1.8234925972094218,0.5684620000000001,[0.498 ~ 0.631],0.24927499999999997,GAP,0.0023732900619506834
90,RandomForest,delta G,all,22787908.10460285,5.503012590188958,-0.695385,[-0.743 ~ -0.641],-23.079817999999996,GAP,0.07382287979125976
91,RandomForest,Affinity Data Value,all,1056509896991.082,85020.35331283673,0.333672,[0.244 ~ 0.418],0.005332000000000001,GAP,0.07586028575897216
92,RandomForest,pKd pKi pIC50,all,2.3591433365964916,1.1178106145932702,0.743817,[0.697 ~ 0.784],0.49921899999999997,GAP,0.0739938735961914
93,XGBoost,delta G,all,22789741.15581444,7.333266973495483,-0.5753019999999999,[-0.637 ~ -0.506],-23.081754999999998,GAP,0.013438868522644042
94,XGBoost,Affinity Data Value,all,1058798148664.9768,104789.31796875,0.29407199999999994,[0.202 ~ 0.381],0.0031779999999999994,GAP,0.013301849365234375
95,XGBoost,pKd pKi pIC50,all,2.7674149672236297,1.3811798572540284,0.642589,[0.581 ~ 0.697],0.4125550000000001,GAP,0.013359403610229493
96,linearRegression,delta G,ki,5.379195047731446e+49,7.321421090978796e+24,-0.083708,[-0.18 ~ 0.014],-5.684156570278638e+43,GAP,0.0019578933715820312
97,linearRegression,Affinity Data Value,ki,9.149167958796166e+57,9.548332637210063e+28,0.00040300000000000004,[-0.097 ~ 0.098],-8.613626031518473e+45,GAP,0.0019541263580322267
98,linearRegression,pKd pKi pIC50,ki,4.104605744095248e+44,2.0224251824671715e+22,0.079731,[-0.018 ~ 0.176],-8.71293918412604e+43,GAP,0.0019524335861206056
99,Ridge,delta G,ki,5.6543108209109926e+20,23737040761.269386,0.083708,[-0.014 ~ 0.18],-597486942151931.8,GAP,0.0017670869827270507
100,Ridge,Affinity Data Value,ki,1.1279283297906468e+27,33525672039140.95,-0.00040300000000000004,[-0.098 ~ 0.097],-1061905614469691.8,GAP,0.001754450798034668
101,Ridge,pKd pKi pIC50,ki,2.104142920373682e+19,4579039159.677262,-0.079731,[-0.176 ~ 0.018],-4.4665116317928684e+18,GAP,0.0018427133560180663
102,Lasso,delta G,ki,22834586.965709638,51.281398355620524,-0.10059500000000002,[-0.196 ~ -0.003],-23.129143,GAP,0.0019269466400146484
103,Lasso,Affinity Data Value,ki,1091711351333.95,58894.32649010754,0.177713,[0.081 ~ 0.271],-0.027808999999999993,GAP,0.0021172523498535155
104,Lasso,pKd pKi pIC50,ki,2.6230324405281062,1.1397770358060557,0.6893580000000001,[0.634 ~ 0.737],0.443203,GAP,0.0018276929855346679
105,ElasticNet,delta G,ki,4.7722466044974216e+20,21807113046.69375,0.083708,[-0.014 ~ 0.18],-504279853235359.9,GAP,0.0018323183059692383
106,ElasticNet,Affinity Data Value,ki,9.94736293455379e+26,31484059296185.18,-0.00040300000000000004,[-0.098 ~ 0.097],-936509906735917.6,GAP,0.002086830139160156
107,ElasticNet,pKd pKi pIC50,ki,8.070364476388516e+18,2835850385.1588626,-0.079731,[-0.176 ~ 0.018],-1.713114468488465e+18,GAP,0.0019294023513793945
108,SVR,delta G,ki,22808142.938837677,4.322987738723439,-0.603046,[-0.662 ~ -0.537],-23.101200000000002,GAP,0.08953185081481933
109,SVR,Affinity Data Value,ki,1131790790471.328,26.854720322151913,0.261946,[0.169 ~ 0.351],-0.065542,GAP,0.09224014282226563
110,SVR,pKd pKi pIC50,ki,2.7814166664406494,1.0935127153215638,0.668399,[0.611 ~ 0.719],0.409582,GAP,0.08442082405090331
111,DecisionTree,delta G,ki,22796108.57616473,10.206401468201395,-0.39969799999999994,[-0.479 ~ -0.314],-23.088483,GAP,0.0021051645278930666
112,DecisionTree,Affinity Data Value,ki,1098272734542.043,92258.5604837112,0.14243699999999998,[0.045 ~ 0.237],-0.03398600000000001,GAP,0.0020453929901123047
113,DecisionTree,pKd pKi pIC50,ki,4.269523157894737,1.8053757160620347,0.4799889999999999,[0.401 ~ 0.552],0.09369899999999999,GAP,0.002467966079711914
114,RandomForest,delta G,ki,22801345.007021315,6.0544900819179395,-0.6679269999999999,[-0.719 ~ -0.61],-23.094017000000004,GAP,0.04640960693359375
115,RandomForest,Affinity Data Value,ki,1085350215630.6057,94051.9408938019,0.18428599999999998,[0.088 ~ 0.277],-0.021820000000000003,GAP,0.047705078125
116,RandomForest,pKd pKi pIC50,ki,2.5758101562105264,1.198444287797111,0.6941949999999999,[0.64 ~ 0.742],0.45322699999999994,GAP,0.04635286331176758
117,XGBoost,delta G,ki,22794821.744707312,8.017574310302734,-0.573576,[-0.636 ~ -0.504],-23.087123999999996,GAP,0.013257861137390137
118,XGBoost,Affinity Data Value,ki,1089180215388.2766,125394.8484375,0.13672700000000002,[0.04 ~ 0.231],-0.025425999999999997,GAP,0.013448071479797364
119,XGBoost,pKd pKi pIC50,ki,2.7973018701938286,1.4433616399765015,0.641971,[0.581 ~ 0.696],0.40621000000000007,GAP,0.014322257041931153
120,linearRegression,delta G,kd,3.0911683034855336e+16,175353997.3024542,0.07411999999999999,[-0.024 ~ 0.171],-32664152286.068317,GAP,0.0018655061721801758
121,linearRegression,Affinity Data Value,kd,1.109135646144776e+23,332427935842.0279,0.000191,[-0.097 ~ 0.098],-104421295106.30681,GAP,0.0018512487411499023
122,linearRegression,pKd pKi pIC50,kd,2.1947553486208205e+17,467629265.9096569,0.07936900000000001,[-0.018 ~ 0.176],-4.6588566768143176e+16,GAP,0.0019465208053588868
123,Ridge,delta G,kd,22764521.889800042,10.657495623038914,-0.152555,[-0.247 ~ -0.056],-23.055106,GAP,0.0017714738845825196
124,Ridge,Affinity Data Value,kd,1124405276309.2937,203810.2840086068,0.060594,[-0.037 ~ 0.157],-0.058589,GAP,0.0019937753677368164
125,Ridge,pKd pKi pIC50,kd,21.17252994443877,4.250009291371279,0.10438899999999998,[0.007 ~ 0.2],-3.4943409999999995,GAP,0.00183258056640625
126,Lasso,delta G,kd,22767750.633367512,7.09240947571667,-0.23131399999999996,[-0.322 ~ -0.137],-23.058517999999996,GAP,0.0018179893493652343
127,Lasso,Affinity Data Value,kd,1084136511806.248,54673.705976353274,0.24088399999999993,[0.147 ~ 0.331],-0.020677,GAP,0.0017358064651489258
128,Lasso,pKd pKi pIC50,kd,8.934627166738503,2.4255533199529675,0.17322799999999997,[0.077 ~ 0.266],-0.8965729999999998,GAP,0.0017333745956420899
129,ElasticNet,delta G,kd,22768554.387136966,6.792966890663209,-0.241621,[-0.331 ~ -0.147],-23.059367000000005,GAP,0.0018408060073852538
130,ElasticNet,Affinity Data Value,kd,1094479968964.678,36819.53507326827,0.191295,[0.095 ~ 0.284],-0.030415000000000005,GAP,0.002084636688232422
131,ElasticNet,pKd pKi pIC50,kd,9.68378299376128,2.588181093815777,0.16908900000000002,[0.073 ~ 0.262],-1.055598,GAP,0.001768946647644043
132,SVR,delta G,kd,22774634.57550347,3.3036732333591745,-0.508349,[-0.577 ~ -0.432],-23.065791999999995,GAP,0.10200488567352295
133,SVR,Affinity Data Value,kd,1131445336571.4524,24.427013583960303,0.3107889999999999,[0.22 ~ 0.396],-0.06521699999999998,GAP,0.10236086845397949
134,SVR,pKd pKi pIC50,kd,3.420452631165092,0.9076531202302196,0.548947,[0.477 ~ 0.614],0.273933,GAP,0.09193704128265381
135,DecisionTree,delta G,kd,22774134.97340637,9.562509257212298,-0.37026,[-0.452 ~ -0.283],-23.065264000000003,GAP,0.001975870132446289
136,DecisionTree,Affinity Data Value,kd,1112579026034.1375,246227.4103695639,0.09652099999999998,[-0.001 ~ 0.192],-0.047455000000000004,GAP,0.00251309871673584
137,DecisionTree,pKd pKi pIC50,kd,4.802438245614035,1.6643886651887727,0.38632199999999994,[0.3 ~ 0.466],-0.019424,GAP,0.002052116394042969
138,RandomForest,delta G,kd,22776843.3730058,4.423676856716541,-0.646419,[-0.7 ~ -0.586],-23.068126000000003,GAP,0.04498178958892822
139,RandomForest,Affinity Data Value,kd,1064046004920.3933,103099.16175144505,0.22727500000000006,[0.133 ~ 0.318],-0.0017630000000000002,GAP,0.04781827926635742
140,RandomForest,pKd pKi pIC50,kd,2.878791313298245,0.9600917057034406,0.6752130000000001,[0.618 ~ 0.725],0.388912,GAP,0.04751899242401123
141,XGBoost,delta G,kd,22784751.81154332,6.265200233459472,-0.48235899999999987,[-0.554 ~ -0.404],-23.076483,GAP,0.013255167007446288
142,XGBoost,Affinity Data Value,kd,1095056045685.5994,94481.159375,0.13878300000000002,[0.042 ~ 0.233],-0.030957000000000005,GAP,0.013532090187072753
143,XGBoost,pKd pKi pIC50,kd,3.173803133097628,1.2345129251480103,0.5788070000000001,[0.51 ~ 0.64],0.3262900000000001,GAP,0.013583898544311523
144,linearRegression,delta G,all,22780544.39575747,5.002779482829541,-0.585179,[-0.646 ~ -0.517],-23.072036999999998,slim,0.0015122413635253907
145,linearRegression,Affinity Data Value,all,1084349480604.2859,41079.57726741543,0.3209469999999999,[0.231 ~ 0.406],-0.020878000000000004,slim,0.0015201091766357422
146,linearRegression,pKd pKi pIC50,all,3.052924812640107,1.1354231891623596,0.614815,[0.55 ~ 0.672],0.35194899999999996,slim,0.0017859697341918944
147,Ridge,delta G,all,22781762.360836145,4.8593747179243945,-0.593432,[-0.653 ~ -0.526],-23.073324000000003,slim,0.0015198707580566407
148,Ridge,Affinity Data Value,all,1084262147398.0039,40729.66094388655,0.32281499999999996,[0.233 ~ 0.408],-0.020795000000000004,slim,0.0014758586883544921
149,Ridge,pKd pKi pIC50,all,3.0462197858246656,1.1304343368464291,0.6160740000000001,[0.552 ~ 0.673],0.3533720000000001,slim,0.0014117002487182618
150,Lasso,delta G,all,22781516.140913047,4.8948119454494785,-0.5910779999999999,[-0.651 ~ -0.524],-23.073063999999995,slim,0.0015117406845092773
151,Lasso,Affinity Data Value,all,1084158332858.7444,38520.97301514993,0.334934,[0.245 ~ 0.419],-0.020697999999999998,slim,0.001659250259399414
152,Lasso,pKd pKi pIC50,all,3.0163754054791236,1.1085532909183315,0.62183,[0.558 ~ 0.678],0.35970700000000005,slim,0.001816534996032715
153,ElasticNet,delta G,all,22781737.655775063,4.86497631708348,-0.5930419999999998,[-0.653 ~ -0.526],-23.073297999999998,slim,0.001603412628173828
154,ElasticNet,Affinity Data Value,all,1097344404946.5403,19451.306711720394,0.33895700000000006,[0.25 ~ 0.423],-0.03311200000000001,slim,0.0018168210983276368
155,ElasticNet,pKd pKi pIC50,all,3.0351676476088403,1.1223723821212863,0.6181669999999999,[0.554 ~ 0.675],0.355718,slim,0.001573634147644043
156,SVR,delta G,all,22790053.63967657,5.178359468987636,-0.6632040000000001,[-0.715 ~ -0.605],-23.082085000000003,slim,0.10710883140563965
157,SVR,Affinity Data Value,all,1131619331767.3613,101.7975401229943,0.3616960000000001,[0.274 ~ 0.444],-0.06538100000000001,slim,0.10820066928863525
158,SVR,pKd pKi pIC50,all,2.549638826978509,1.2118744783197768,0.6905200000000001,[0.636 ~ 0.738],0.45878200000000013,slim,0.10210521221160888
159,DecisionTree,delta G,all,22785899.707892008,9.207355468338731,-0.3788079999999999,[-0.459 ~ -0.292],-23.077696,slim,0.002183985710144043
160,DecisionTree,Affinity Data Value,all,1072717158125.3779,197394.00933326298,0.18098600000000004,[0.085 ~ 0.274],-0.009926000000000003,slim,0.002157926559448242
161,DecisionTree,pKd pKi pIC50,all,4.195186666666666,1.9195035087005752,0.505477,[0.429 ~ 0.575],0.10947799999999999,slim,0.002152681350708008
162,RandomForest,delta G,all,22786192.787917733,5.351430877451577,-0.6944470000000001,[-0.742 ~ -0.64],-23.078004999999997,slim,0.07359178066253662
163,RandomForest,Affinity Data Value,all,1041008286599.283,131707.08804599498,0.286225,[0.194 ~ 0.373],0.019927,slim,0.0689579963684082
164,RandomForest,pKd pKi pIC50,all,2.436473263333333,1.1543071748558928,0.721952,[0.672 ~ 0.766],0.4828039999999999,slim,0.07242457866668701
165,XGBoost,delta G,all,22786945.803059373,7.023806142807007,-0.597155,[-0.657 ~ -0.53],-23.078801,slim,0.013157510757446289
166,XGBoost,Affinity Data Value,all,1072045196212.9045,159994.5125,0.17012399999999997,[0.074 ~ 0.263],-0.009293999999999998,slim,0.013653779029846191
167,XGBoost,pKd pKi pIC50,all,2.6545718715977205,1.3641129732131958,0.664732,[0.606 ~ 0.716],0.436508,slim,0.013159704208374024
168,linearRegression,delta G,ki,22797517.203459177,5.421227191576696,-0.623138,[-0.679 ~ -0.56],-23.089971999999996,slim,0.001329517364501953
169,linearRegression,Affinity Data Value,ki,1085433041380.4104,43363.79688012523,0.327683,[0.238 ~ 0.412],-0.021898,slim,0.0013487100601196288
170,linearRegression,pKd pKi pIC50,ki,2.8162299303680025,1.2233591419718406,0.6386900000000001,[0.577 ~ 0.693],0.402193,slim,0.0013933658599853515
171,Ridge,delta G,ki,22799226.028142817,5.266770656347232,-0.627835,[-0.684 ~ -0.565],-23.091778,slim,0.0014328241348266601
172,Ridge,Affinity Data Value,ki,1085355734433.6719,42097.31277699024,0.333231,[0.244 ~ 0.417],-0.021825000000000004,slim,0.0013894319534301757
173,Ridge,pKd pKi pIC50,ki,2.810942167553211,1.2140630904921517,0.640391,[0.579 ~ 0.695],0.403315,slim,0.0013600826263427735
174,Lasso,delta G,ki,22799445.598182447,5.257968512529977,-0.6295479999999999,[-0.685 ~ -0.567],-23.092009999999995,slim,0.0014577627182006836
175,Lasso,Affinity Data Value,ki,1088659079802.6931,32695.015362953352,0.36169299999999993,[0.274 ~ 0.444],-0.024934999999999995,slim,0.0015163660049438477
176,Lasso,pKd pKi pIC50,ki,2.795913859629195,1.1812025530203643,0.6465829999999999,[0.586 ~ 0.7],0.406505,slim,0.001445603370666504
177,ElasticNet,delta G,ki,22798883.333241615,5.297512529378465,-0.6276130000000001,[-0.683 ~ -0.565],-23.091415000000005,slim,0.001619863510131836
