,Modeltype,Scoretype,Datatype,Mean absolute error (mae),Mean squared error (mse),Standard Diviation (SD),Pearson correlation coefficient (r),90% Confidence interval,Coefficient of determination (r²),Spearman correlation coefficient,add. information,Classes,Set,Set size
23,RandomForest,pKd pKi pIC50,kd,1.3001420168067228,2.9251992564986002,1.2468159881658893,0.586624,[0.526 ~ 0.641],0.344128,0.616458,GRADE class4 test,4,test,357
24,RandomForest,pKd pKi pIC50,all,1.177457345971564,2.168469551421801,1.1935275736538817,0.668536,[0.601 ~ 0.727],0.44694,0.634166,X-GRADE class5 test,5,test,211
25,RandomForest,pKd pKi pIC50,ki,1.1648194312796207,2.159432826492891,1.1932648579249094,0.669262,[0.601 ~ 0.728],0.447912,0.634106,X-GRADE class5 test,5,test,211
26,RandomForest,pKd pKi pIC50,kd,1.1512355450236964,2.1161342612796203,1.183087757871403,0.676908,[0.61 ~ 0.734],0.458205,0.657117,X-GRADE class5 test,5,test,211
27,RandomForest,pKd pKi pIC50,all,1.2088374407582938,2.365915311706161,1.2372913665012266,0.634821,[0.562 ~ 0.698],0.402997,0.616483,GRADE class5 test,5,test,211
28,RandomForest,pKd pKi pIC50,ki,1.2130170616113745,2.3601017235071096,1.2747350323411675,0.641754,[0.57 ~ 0.704],0.411849,0.62599,GRADE class5 test,5,test,211
29,RandomForest,pKd pKi pIC50,kd,1.1983009478672983,2.3829685647867294,1.2589945059216965,0.632178,[0.559 ~ 0.696],0.399649,0.619473,GRADE class5 test,5,test,211
30,RandomForest,pKd pKi pIC50,all,1.1463530120481926,2.2876574918674697,0.9818003835144004,0.550252,[0.484 ~ 0.61],0.302777,0.551739,X-GRADE class6 test,6,test,332
31,RandomForest,pKd pKi pIC50,ki,1.1655870481927713,2.3232236267771085,1.000718738638135,0.541676,[0.474 ~ 0.603],0.293413,0.533619,X-GRADE class6 test,6,test,332
32,RandomForest,pKd pKi pIC50,kd,1.1403201807228918,2.27453218057229,1.0041138194909236,0.554432,[0.488 ~ 0.614],0.307395,0.558227,X-GRADE class6 test,6,test,332
33,RandomForest,pKd pKi pIC50,all,1.1644481927710844,2.255899938554217,0.9663016520510397,0.569542,[0.505 ~ 0.628],0.324378,0.560551,GRADE class6 test,6,test,332
34,RandomForest,pKd pKi pIC50,ki,1.1692557228915663,2.27906496743976,0.9950571149826009,0.55984,[0.494 ~ 0.619],0.313421,0.54556,GRADE class6 test,6,test,332
35,RandomForest,pKd pKi pIC50,kd,1.1822466867469879,2.3240969717168674,0.9814248208526272,0.547753,[0.481 ~ 0.608],0.300033,0.536227,GRADE class6 test,6,test,332
